STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,"答案
ANSWER"
"Young Mary is preparing slogans for environmental protection activities. She is thinking about how to make the slogans more powerful to attract people's attention. When she is ready to start writing, her little niece comes over and says, ""Aunt Mary, I want to play games, can you play with me?"" Mary looks at the slogan on the table, then smiles and agrees to play games with her little niece.",What does Mary do after she finishes playing games with her niece?,Mary goes back to the table to finish her environmental protection slogan.,Mary goes to the kitchen to cook.,Mary goes to watch a movie to relax herself.,Mary starts to clean the room.,A
"Jason loves the piano and always desires to have his own piano, but he cannot achieve it due to financial problems. His girlfriend, Lin, knows this idea and promises to buy him a piano, but the condition is if he can lose 20 pounds within a year. Jason, for this piano, finally decides to start exercising to reach the goal.",What does Jason do if he reaches the weight goal?,He plays his own piano at home.,He goes to the gym to continue exercising.,He starts to learn a new instrument.,He goes on a trip to celebrate success.,A
"Emma hopes her children make more friends and helps them improve their social skills. For this, she plans to hold a party on the weekend, so all the friends of her children come. But Emma's husband suggests that if Emma helps him complete his project report, he helps Emma prepare this party. Emma chooses to help her husband.","After Emma helps her husband complete his project report, what does she do?",Emma prepares a party for her children.,Emma starts a new project.,Emma invites her husband to go on vacation together.,Emma prepares a surprise party for her husband.,A
"College student Joseph and his friends make a promise to travel to Europe during the holiday. They all look forward to this trip. However, Joseph needs to pass the upcoming final exam, otherwise, he needs to spend holiday time preparing for the make-up exam. Between reviewing and traveling, Joseph chooses to stay in the library for review.",What does Joseph do if he does not pass the exam?,Joseph goes on a trip to Europe with his friends.,Joseph throws a party to relax.,Joseph goes to the school swimming pool for a swim.,Joseph does not go on a trip to Europe with his friends.,D
"Joseph always wants to visit the Grand Canyon, but the high cost prevents him from doing so. However, his company receives a big project that requires him to go to New York for business trips to maintain the project. His boss tells him that if he decides to accept this project, the company gives him an extra bonus. So Joseph decides to go to New York.",What does Joseph do after he completes the project task in New York?,Joseph uses the bonus to travel to the Grand Canyon.,Joseph uses the bonus to buy a new car.,Joseph puts the bonus into the bank.,Joseph uses the bonus to renovate his house.,A
"Emma is a leader of a software development team, she always dreams of introducing new technology to improve team efficiency. However, her team recently receives a new big project, which needs to be completed as soon as possible. The client is willing to pay extra fees to ensure the project is prioritized. Therefore, Emma decides to temporarily give up the plan to introduce new technology and devotes herself to completing this big project.",What does Emma do after she completes this big project?,Emma uses these extra fees to introduce new technology for the team.,Emma uses these extra fees to take the team members on vacation.,Emma uses these extra fees for personal investment.,Emma donates these extra fees to a charity organization.,A
"David is a kind and enthusiastic neighbor, he often helps the elderly in the neighborhood. One day, he is preparing to organize a small BBQ party and invites many friends. However, the elderly tell him that they need his help to repair the public facilities in the community park. David decides to cancel the party and goes to help them repair the facilities.",What does David do after he finishes repairing the facilities?,David reorganizes the BBQ party.,David leaves the community.,David continues to repair other facilities.,David goes to chat with the elderly.,A
"Lisa is a programmer, and one day she finds an awesome keyboard online that she really wants to buy. However, at the company's annual party, Lisa was voted best employee and was given a reward, a set of top-of-the-line gaming peripherals that she had always dreamed of. Lisa then decides to spend her allowance on more games.",What will Lisa do after purchasing the game?        ,Lisa no longer buys that keyboard.,Lisa buys more gaming peripherals.,Lisa shows her game to her colleagues.,Lisa gives up the game and focuses on work.,A
"Lili always saves money, hoping to go on vacation to Bali with her boyfriend. However, Lili's boyfriend tells her emotionally on his birthday that he always dreams of owning a brand-name watch. Hearing her boyfriend's wish, Lili decides to use her savings to buy him that watch.",What does Lili do after she buys the watch for her boyfriend?,Lili takes many photos to commemorate this moment.,Lili goes on vacation to Bali with her boyfriend.,Lili does not go on vacation to Bali.,Lili saves money to buy another watch.,C
"Sara is a designer, she always hopes to design a unique LOGO for the company's new project. However, her teammate is on sick leave recently, the task of making the promotional video falls on her, she decides to fully complete the production of the promotional video.",What does Sara do after she completes the production of the promotional video?,Sara continues to complete the production of the project logo.,Sara continues to produce more promotional videos.,Sara takes a break for a while and then carries out new tasks.,Sara resigns from her position as a designer.,A
