STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,"答案
ANSWER"
"Xiaoyue has to do some arithmetic problems at school. She makes some silly mistakes. During the break, her friends talk about their performance, no one makes any mistakes. Xiaoyue tries to pretend she does as well as them.",Why does Xiaoyue truly feel upset?,Because she hates arithmetic problems,Because she makes silly mistakes,Because she has no friends,Because the break is too short,B
"Xiaoyue has to do some arithmetic problems at school. She makes some silly mistakes. During the break, her friends talk about their performance, no one makes any mistakes. Xiaoyue tries to pretend she does as well as them.",How does Xiaoyue look when this happens?,Surprised,Troubled,Confident,Happy,D
"Xiaoyue has to do some arithmetic problems at school. She makes some silly mistakes. During the break, her friends talk about their performance, no one makes any mistakes. Xiaoyue tries to pretend she does as well as them.",Why does Xiaoyue seem happy?,Because she likes arithmetic problems,To not disappoint her friends,Because she wants to perform as well as her friends,Because her mistakes are discovered,C
"Mingming does not like to visit his grandfather because he finds it boring, but he visits every week. And this visit lasts a long time. He tries not to let his grandfather see his true feelings, so his grandfather does not get hurt.",What are Mingming's real feelings?,Happy,Annoyed,Satisfied,Grateful,B
"Mingming does not like to visit his grandfather because he finds it boring, but he visits every week. And this visit lasts a long time. He tries not to let his grandfather see his true feelings, so his grandfather does not get hurt.",Why does Mingming truly feel annoyed?,Because he does not like to see his grandfather,Because he finds visiting his grandfather boring,Because he sees his grandfather every week,Because he sees his grandfather get hurt,B
"Mingming does not like to visit his grandfather because he finds it boring, but he visits every week. And this visit lasts a long time. He tries not to let his grandfather see his true feelings, so his grandfather does not get hurt.",How does Mingming appear on the surface when this happens?,Happy,Annoyed,Satisfied,Grateful,A
"Mingming does not like to visit his grandfather because he finds it boring, but he visits every week. And this visit lasts a long time. He tries not to let his grandfather see his true feelings, so his grandfather does not get hurt.",Why does Mingming seem happy?,Because he likes long visits,Because he does not want his grandfather to get hurt,Because he finds something interesting to do,Because he wants to make his grandfather happy,B
"Nana helps her mother, her mother says she can stay up late to watch TV. Her little brother also wants to stay up late, so her mother says she cannot tell her brother because her brother is very young, he should go to bed early.",What is Nana's real feeling?,Happy,Guilty,Calm,Annoyed,A
"Nana helps her mother, her mother says she can stay up late to watch TV. Her little brother also wants to stay up late, so her mother says she cannot tell her brother because her brother is very young, he should go to bed early.",Why does Nana truly feel happy?,Because she likes to stay up late,Because she helps her mother,Because she can watch TV,Because her brother goes to bed early,C
"Nana helps her mother, her mother says she can stay up late to watch TV. Her little brother also wants to stay up late, so her mother says she cannot tell her brother because her brother is very young, he should go to bed early.","When this happens to Nana, how does she appear on the surface?",Happy,Guilty,Calm,Annoyed,C
"Nana helps her mother, her mother says she can stay up late to watch TV. Her little brother also wants to stay up late, so her mother says she cannot tell her brother because her brother is very young, he should go to bed early.",Why does Nana appear calm?,Because she does not care about her brother,Because she likes to watch TV,Because she acts very confident,Because she cannot let her brother know that he can watch TV,D
"Feifei is playing a card game. When she gets the cards, she sees that these cards are good, so she may win. But she tries not to let other children know what good cards she has.",What is Feifei's real feeling?,Excited,Proud,Anxious,Grateful,A
"Feifei is playing a card game. When she gets the cards, she sees that these cards are good, so she may win. But she tries not to let other children know what good cards she has.",Why is Feifei truly excited?,Because she likes to play games,Because playing cards with friends is fun,Because she gets good cards,Because she loses the game,C
"Feifei is playing a card game. When she gets the cards, she sees that these cards are good, so she may win. But she tries not to let other children know what good cards she has.",How does Feifei appear when this happens?,Excited,Proud,Anxious,Grateful,C
"Feifei is playing a card game. When she gets the cards, she sees that these cards are good, so she may win. But she tries not to let other children know what good cards she has.",Why does Feifei seem anxious on the surface?,Because she does not like card games,Because she does not know how to play card games,Because she is torn about whether to let others know she has good cards,Because she does not want other children to know her cards are good,D
"The school bully runs past Li Anna. Suddenly, he slips and falls. Li Anna thinks he gets what he deserves, but she does not want the bully to know her real feelings, to avoid him starting a conflict.",What are Li Anna's real feelings?,Happy,Worried,Calm,Guilty,A
"The school bully runs past Li Anna. Suddenly, he slips and falls. Li Anna thinks he gets what he deserves, but she does not want the bully to know her real feelings, to avoid him starting a conflict.",Why does Li Anna feel happy?,Because she runs past the bully and wins the race,Because she thinks the bully gets what he deserves,Because she likes to start conflicts,Because she falls herself,B
"The school bully runs past Li Anna. Suddenly, he slips and falls. Li Anna thinks he gets what he deserves, but she does not want the bully to know her real feelings, to avoid him starting a conflict.",How does Li Anna appear when this happens?,Happy,Worried,Calm,Guilty,C
"The school bully runs past Li Anna. Suddenly, he slips and falls. Li Anna thinks he gets what he deserves, but she does not want the bully to know her real feelings, to avoid him starting a conflict.",Why does Li Anna seem to be worried on the surface?,Because she falls herself,Because she thinks the bully deserves it,Because she does not want to start a conflict,Because she is afraid the bully gets hurt,C
"A big boy runs past Little Red. Suddenly, this boy slips and falls. Xiao Red finds this very funny, but she does not want the boy to know her real feelings, to avoid the boy getting angry at her.",What are Xiao Red's real feelings?,Worried,Happy,Angry,Furious,B
"A big boy runs past Xiao Red. Suddenly, this boy slips and falls. Little Red finds this very funny, but she does not want the boy to know her real feelings, to avoid the boy getting angry at her.",Why is Xiao Red's real feeling happy?,Because she likes to see people fall,Because she does not like that boy,Because she finds it funny that the boy slips,Because she wants the boy to be angry at her,C
"A big boy runs past Xiao Red. Suddenly, this boy slips and falls. Little Red finds this very funny, but she does not want the boy to know her real feelings, to avoid the boy getting angry at her.",How does Xiao Red appear when this happens?,Worried,Happy,Angry,Furious,A
"A big boy runs past Xiao Red. Suddenly, this boy slips and falls. Little Red finds this very funny, but she does not want the boy to know her real feelings, to avoid the boy getting angry at her.",Why does Xiao Red seem to be worried on the surface?,Because she is afraid the boy gets hurt,Because she likes this boy,Because she finds it funny,Because she avoids the boy getting angry at her,D
"Yangyang's sister takes her favorite toy. When her sister goes out, she takes her sister's favorite toy and hides it. When her sister comes home, she cannot find her toy. Yangyang tries to hide her feelings, otherwise her sister gets angry at her.",What are Yangyang's real feelings?,Anxious,Angry,Guilty,Jealous,B
"Yangyang's sister takes her favorite toy. When her sister goes out, she takes her sister's favorite toy and hides it. When her sister comes home, she cannot find her toy. Yangyang tries to hide her feelings, otherwise her sister gets angry at her.",Why is Yangyang's real feeling anger?,Yangyang likes to tease her sister,Yangyang's sister takes her favorite toy,Because Yangyang is jealous that her sister has the best toy,Because she quarrels with her sister,B
"Yangyang's sister takes her favorite toy. When her sister goes out, she takes her sister's favorite toy and hides it. When her sister comes home, she cannot find her toy. Yangyang tries to hide her feelings, otherwise her sister gets angry at her.",How does Yangyang appear when this happens?,Anxious,Angry,Guilty,Jealous,A
"Yangyang's sister takes her favorite toy. When her sister goes out, she takes her sister's favorite toy and hides it. When her sister comes home, she cannot find her toy. Yangyang tries to hide her feelings, otherwise her sister gets angry at her.",Why does Yangyang seem to be anxious?,Because she avoids her sister finding out she hides the toy,Because she sees her sister cannot find the toy and worries for her.,Because she cannot find her own best toy,Because she fears her mother finds out she hides her sister's toy,A
"Zhenming walks on the street, an old lady passes him. The old lady wears strange and ugly clothes. But Zhenming tries to hide his real feelings when he sees the old lady in strange clothes, otherwise the old lady scolds him.",What are Zhenming's real feelings?,Joy,Disgust,Surprise,Understanding,B
"Zhenming walks on the street, an old lady passes him. The old lady wears strange and ugly clothes. But Zhenming tries to hide his real feelings when he sees the old lady in strange clothes, otherwise the old lady scolds him.",Why does Zhenming truly feel disgusted?,Because he thinks the old lady is ugly,Because he thinks the old lady's clothes are strange and ugly,Because he thinks the old lady has good taste,Because he does not like old ladies,B
"Zhenming walks on the street, an old lady passes him. The old lady wears strange and ugly clothes. But Zhenming tries to hide his real feelings when he sees the old lady in strange clothes, otherwise the old lady scolds him.",How does Zhenming appear when this happens?,Joy,Disgust,Surprise,Understanding,A
"Zhenming walks on the street, an old lady passes him. The old lady wears strange and ugly clothes. But Zhenming tries to hide his real feelings when he sees the old lady in strange clothes, otherwise the old lady scolds him.",Why does Zhenming seem happy on the surface?,Because he admires the old lady's dress,Because he feels sympathy for the old lady,Because he thinks the old lady has taste,Because he wants to avoid scolding,D
"Chen Fei is playing games with his friend. When the game ends, Chen Fei wins and his friend loses. Chen Fei tries to hide his real feelings, because otherwise his friend may not play with him anymore.",What are Chen Fei's real feelings?,Surprised,Calm,Happy,Grateful,C
"Chen Fei is playing games with his friend. When the game ends, Chen Fei wins and his friend loses. Chen Fei tries to hide his real feelings, because otherwise his friend may not play with him anymore.",Why is Chen Fei's real feeling happy?,Because he wins the game,Because he wants to make his friend happy,Because he hides his real feelings,Because he likes to play games,A
"Chen Fei is playing games with his friend. When the game ends, Chen Fei wins and his friend loses. Chen Fei tries to hide his real feelings, because otherwise his friend may not play with him anymore.",How does Chen Fei appear when this happens?,Surprised,Calm,Happy,Grateful,B
"Chen Fei is playing games with his friend. When the game ends, Chen Fei wins and his friend loses. Chen Fei tries to hide his real feelings, because otherwise his friend may not play with him anymore.",Why does Chen Fei appear calm on the surface?,Because he does not care about winning or losing,Because he likes to hide his feelings,Because he thinks the game is not important,Because he avoids upsetting his friend,D
"Liu Hong's brother teases him. Liu Hong knows if his brother knows his feelings, he continues to tease him. Therefore, Liu Hong tries to hide his real feelings.",What are Liu Hong's real feelings?,Angry,Happy,Scared,Disappointed,A
"Liu Hong's brother teases him. Liu Hong knows if his brother knows his feelings, he continues to tease him. Therefore, Liu Hong tries to hide his real feelings.",Why does Liu Hong really feel angry?,Because his brother teases him,Because he does not understand the joke,Because he thinks his brother is right,Because he knows his brother continues to tease him,A
"Liu Hong's brother teases him. Liu Hong knows if his brother knows his feelings, he continues to tease him. Therefore, Liu Hong tries to hide his real feelings.",How does Liu Hong appear when this happens?,Angry,Calm,Scared,Disappointed,B
"Liu Hong's brother teases him. Liu Hong knows if his brother knows his feelings, he continues to tease him. Therefore, Liu Hong tries to hide his real feelings.",Why does Liu Hong appear calm on the surface?,Because he has a good relationship with his brother and enjoys joking together,Because he thinks his brother's jokes are funny,Because he does not want his brother to continue teasing him,Because he really feels happy,C
"Zhou Yu wants to go out, but he feels stomachache. He knows, if he tells his mother he has a stomachache, his mother says he cannot go out. He tries to hide his feelings, letting his mother let him go out of the house.",What are Zhou Yu's real feelings?,Angry,Happy,Sad,Anxious,C
"Zhou Yu wants to go out, but he feels stomachache. He knows, if he tells his mother he has a stomachache, his mother says he cannot go out. He tries to hide his feelings, letting his mother let him go out of the house.",Why does Zhou Yu truly feel upset?,Because he does not like to go out,Because he fears his mother gets angry,Because he has a stomachache,Because his mother does not let him go out of the house,C
"Zhou Yu wants to go out, but he feels stomachache. He knows, if he tells his mother he has a stomachache, his mother says he cannot go out. He tries to hide his feelings, letting his mother let him go out of the house.",How does Zhou Yu appear when this happens?,Angry,Happy,Sad,Anxious,B
"Zhou Yu wants to go out, but he feels stomachache. He knows, if he tells his mother he has a stomachache, his mother says he cannot go out. He tries to hide his feelings, letting his mother let him go out of the house.",Why does Zhou Yu appear to be happy?,Because he does not want his mother to know he has a stomachache,Because his mother agrees he can go out,In order not to make his mother worry,Because he does not care about the stomachache,A
"Wang Qiang's friends play together, tell jokes. One of the older children tells a joke, everyone else finds it interesting. Wang Qiang listens to this joke, but he does not understand. But he does not want the other children to know he does not understand, lest they think he is stupid.",What is Wang Qiang's real feeling?,Happy,Embarrassed,Angry,Bored,B
"Wang Qiang's friends play together, tell jokes. One of the older children tells a joke, everyone else finds it interesting. Wang Qiang listens to this joke, but he does not understand. But he does not want the other children to know he does not understand, lest they think he is stupid.",Why is Wang Qiang's real feeling embarrassing?,Because he tells a better joke,Because he does not understand the joke,Because he does not like the other children,Because he does not want to play,B
"Wang Qiang's friends play together, tell jokes. One of the older children tells a joke, everyone else finds it interesting. Wang Qiang listens to this joke, but he does not understand. But he does not want the other children to know he does not understand, lest they think he is stupid.",How does Wang Qiang appear when this happens?,Happy,Embarrassed,Angry,Bored,A
"Wang Qiang's friends play together, tell jokes. One of the older children tells a joke, everyone else finds it interesting. Wang Qiang listens to this joke, but he does not understand. But he does not want the other children to know he does not understand, lest they think he is stupid.",Why does Wang Qiang appear to be happy?,Because he likes to listen to jokes,Because he feels disappointed about the joke,In order not to let other children think he is stupid,Because he tells a better joke,C
"Kunpeng falls and gets hurt. He knows if he shows his real feelings, other kids laugh at him. Therefore, he tries to hide his real feelings",What are Kunpeng's real feelings?,Angry,Confident,Anxious,Depressed,D
"Kunpeng falls and gets hurt. He knows if he shows his real feelings, other kids laugh at him. Therefore, he tries to hide his real feelings",Why does Kun Peng feel upset?,Because he does not like other children,Because he thinks falling is funny,Because other children possibly laugh at him,Because he falls and gets hurt,D
"Kunpeng falls and gets hurt. He knows if he shows his real feelings, other kids laugh at him. Therefore, he tries to hide his real feelings",How does Kunpeng appear when this happens?,Angry,Calm,Anxious,Depressed,B
"Kunpeng falls and gets hurt. He knows if he shows his real feelings, other kids laugh at him. Therefore, he tries to hide his real feelings",Why does Kunpeng appear calm on the surface?,Because he does not care about getting hurt,Because he is confident,To prevent other kids from seeing his weakness and making fun of him,Because the fall does not hurt at all,C
"Yuanyuan participates in the school's talent show, she prepares a wonderful dance performance. She receives unanimous praise from the teachers. While other students receive criticism. Yuanyuan tries to hide her real feelings, because otherwise her friends might be jealous and not like her.",What are Yuanyuan's real feelings?,Anxious,Excited,Scared,Calm,B
"Yuanyuan participates in the school's talent show, she prepares a wonderful dance performance. She receives unanimous praise from the teachers. While other students receive criticism. Yuanyuan tries to hide her real feelings, because otherwise her friends might be jealous and not like her.",Why is Yuanyuan's real feeling excited?,Because she receives praise from her classmates,Because her dance receives good reviews,Because she prepares a wonderful dance performance,Because she is good at dancing,B
"Yuanyuan participates in the school's talent show, she prepares a wonderful dance performance. She receives unanimous praise from the teachers. While other students receive criticism. Yuanyuan tries to hide her real feelings, because otherwise her friends might be jealous and not like her.",How does Yuanyuan appear when this happens?,Happy,Excited,Scared,Calm,D
"Yuanyuan participates in the school's talent show, she prepares a wonderful dance performance. She receives unanimous praise from the teachers. While other students receive criticism. Yuanyuan tries to hide her real feelings, because otherwise her friends might be jealous and not like her.",Why does Yuanyuan appear calm on the surface?,Because she does not care about the teacher's evaluation,Because she does not like to perform,Because she thinks the students will not be jealous,Because she wants to keep a low profile,D
"Lili helps her father fix the water pipe in the garden, her father is happy, and promises to buy her a toy. However, her father says if her younger brother knows, he follows, he needs to take a nap, you do not tell your younger brother. Lili sees her younger brother.",What is Lili's real feeling?,Anxious,Calm,Happy,Worried,C
"Lili helps her father fix the water pipe in the garden, her father is happy, and promises to buy her a toy. However, her father says if her younger brother knows, he follows, he needs to take a nap, you do not tell your younger brother. Lili sees her younger brother.",Why is Lili truly happy?,Because she helps dad fix the water pipe,Because dad promises to buy her a toy,Because she likes to be with her dad,Because she does not like her younger brother,B
"Lili helps her father fix the water pipe in the garden, her father is happy, and promises to buy her a toy. However, her father says if her younger brother knows, he follows, he needs to take a nap, you do not tell your younger brother. Lili sees her younger brother.",How does Lili appear when this happens?,Excited,Calm,Happy,Worried,B
"Lili helps her father fix the water pipe in the garden, her father is happy, and promises to buy her a toy. However, her father says if her younger brother knows, he follows, he needs to take a nap, you do not tell your younger brother. Lili sees her younger brother.",Why does Lili appear calm on the surface?,Because she does not care about buying toys,Because she cares about her younger brother,Because she hopes her younger brother also participates,Because she avoids letting her younger brother find out about buying toys,D
"Ruru participates in a speech competition at school. She makes a mistake in her speech, and all other students perform very well. After the competition ends, the students share their performances with each other, no one makes any mistakes. Ruru tries to pretend her speech is as good as theirs",What are Ruru's real feelings?,Happy,Sad,Proud,Afraid,B
"Ruru participates in a speech competition at school. She makes a mistake in her speech, and all other students perform very well. After the competition ends, the students share their performances with each other, no one makes any mistakes. Ruru tries to pretend her speech is as good as theirs",Why is Ruru's true feeling sad?,Because she feels nervous in the competition,Because she makes a mistake in her speech,Because she does not care about the competition results,Because she wants to be as excellent as her classmates,B
"Ruru participates in a speech competition at school. She makes a mistake in her speech, and all other students perform very well. After the competition ends, the students share their performances with each other, no one makes any mistakes. Ruru tries to pretend her speech is as good as theirs",How does Ruru appear when this happens?,Happy,Sad,Proud,Afraid,A
"Ruru participates in a speech competition at school. She makes a mistake in her speech, and all other students perform very well. After the competition ends, the students share their performances with each other, no one makes any mistakes. Ruru tries to pretend her speech is as good as theirs",Why does Ruru seem happy on the surface?,Because she pretends her speech is as good as her classmates,Because she participates in the school speech competition and is very happy,Because she does not care about the competition results,Because she wants to be as excellent as her classmates,A
"Zhao Bo is the president of the skateboard club. Zhao Bo does a demonstration in front of the club members, accidentally falls, and gets hurt. He knows if he shows his true feelings, the members possibly do not believe him. Therefore, he tries to hide his real feelings. He says everyone needs to pay attention to the reason for my mistake.",What are Zhao Bo's real feelings?,Embarrassed,Happy,Angry,Confident,A
"Zhao Bo is the president of the skateboard club. Zhao Bo does a demonstration in front of the club members, accidentally falls, and gets hurt. He knows if he shows his true feelings, the members possibly do not believe him. Therefore, he tries to hide his real feelings. He says everyone needs to pay attention to the reason for my mistake.",Why is Zhao Bo's real feeling embarrassing?,Because he falls in front of the club members,Because he shows the demonstration,Because the club members look down on him,Because he likes to be the center of attention,A
"Zhao Bo is the president of the skateboard club. Zhao Bo does a demonstration in front of the club members, accidentally falls, and gets hurt. He knows if he shows his true feelings, the members possibly do not believe him. Therefore, he tries to hide his real feelings. He says everyone needs to pay attention to the reason for my mistake.",How does Zhao Bo appear when this happens?,Embarrassed,Happy,Angry,Confident,D
"Zhao Bo is the president of the skateboard club. Zhao Bo does a demonstration in front of the club members, accidentally falls, and gets hurt. He knows if he shows his true feelings, the members possibly do not believe him. Therefore, he tries to hide his real feelings. He says everyone needs to pay attention to the reason for my mistake.",Why does Zhao Bo appear confident on the surface?,Because he is the president of the skateboard club,Because he wants to demonstrate excellently,Because he wants to avoid the members not believing him,Because he specifically does a wrong demonstration for everyone,C
