STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,"答案
ANSWER"
"Xiao Hong studies in the library, suddenly her pen pal Xiao Lan sends a message, saying he comes to this city for a meeting and wants to see her. Xiao Hong is very excited, but she remembers that there is an important project report to prepare today. Her friend Xiao Lu sees her hesitation and suggests that she completes the report before meeting her pen pal. At this moment, the library broadcast announces that it is about to close.","After Xiao Hong receives Xiao Lan's message, what action is she most likely to take?",Completes the project report.,Calls Xiao Lan and arranges to meet near the library.,"Lets Xiao Lu help to complete the report, she goes to see Xiao Lan.","Stays in the library to continue studying, does not go to see Xiao Lan.",A
"Li Hua is a high school student, preparing for the upcoming important math exam. His room is full of review materials and exercise books. At this moment, his good friend Xiao Zhang sends a message, inviting him to participate in the basketball game this weekend. Li Hua loves basketball, but he knows he needs to concentrate on reviewing. At the same time, Li Hua's sister enters the room, tells him she is about to go to the library, and asks him if he needs more review materials. Li Hua's mind pictures the scene on the basketball court, but he also remembers his parents' expectations.","After receiving the message, what does Li Hua do?",He continues to review math.,"He replies to Xiao Zhang, agrees to participate in the basketball game.","He goes to the library with his sister, looking for more review materials.","He pauses the review, chats with his sister, relieves study pressure.",A
"Zhang Wei is a diligent college student, he is in the library preparing for the final exam. The content of the exam is hard for him, so he decides to focus on studying. Suddenly, his good friend Li Hua sends a message, inviting him to a party on the weekend. Zhang Wei thinks for a while, because he has not seen his friends for a long time. But he thinks about the importance of the exam. His phone battery is low, he decides to plug in the charger. At this time, his girlfriend calls him, saying she is free in the evening, they can review together.","After Zhang Wei finishes the call with his girlfriend, what does he do?",He continues to review in the library.,He turns off the phone to avoid being disturbed.,He leaves the library to attend the friend's party.,He prepares to go to his girlfriend's place to review.,A
"Zhang Hua is a student who loves painting, he is painting a picture about the ocean at home. Suddenly, his good friend Li Lei calls, saying his bicycle breaks down on the road, he needs help. Zhang Hua agrees to help, after hanging up the phone, he turns around and sees the sunset outside the window. He considers whether to finish the painting first, but at the same time he remembers there is an important painting competition tomorrow. His mother is busy preparing dinner in the kitchen, she calls him to help.","After Zhang Hua hangs up the phone, what does he do next?",He goes to help Li Lei fix the bicycle.,He goes to the kitchen to help his mother cook.,He watches the sunset outside the window.,He prepares for the painting competition tomorrow.,A
"Zhang Hua is a high school student, he prepares for tomorrow's physics exam seriously in the library. Suddenly, his good friend Li Lei sends a message, saying he gets injured in a basketball game. Zhang Hua worries a lot, but he knows if he leaves now, he may not be able to prepare for the exam well. At this time, the library administrator announces that the library closes within 30 minutes. There is still unread detailed information about the injury sent by Li Lei in Zhang Hua's mobile phone.",What decision does Zhang Hua make after receiving Li Lei's message?,He stays in the library to study until it closes.,He leaves the library immediately to visit Li Lei.,"He replies to Li Lei's message, asking for more details about the injury.",He asks the library administrator to extend the opening hours so he can finish studying.,C
"Zhang Wei reads a book about astronomy in the library, he is full of curiosity about the mysteries of the universe. Suddenly, his good friend Li Hua sends a message, asking if he is still needed for the football match next week. Zhang Wei thinks for a while and replies to Li Hua. At this time, the library administrator comes over to remind Zhang Wei that the library is about to close, he needs to leave as soon as possible. It rains heavily outside, Zhang Wei worries that the way home is very difficult.",What is the most likely action of Zhang Wei before the library closes?,He continues to read the astronomy book.,He replies to Li Hua with more details about the football match.,He packs up his things and prepares to leave the library.,"He checks the weather forecast on his phone, considering whether to wait for the rain to stop before leaving.",C
"Li Hua studies in the library, suddenly his laptop shows low battery. He starts to look for power outlets in the library, but all the outlets are in use by others. At this time, his friend Xiao Hong sends a message, inviting him to study in the coffee shop. Li Hua also remembers that his sister comes to the library to discuss an important family event with him in the afternoon. He is considering whether to go to the coffee shop, or stay in the library waiting for his sister.","After the battery of Li Hua's laptop runs low, what does he do?",He goes to the coffee shop to study with Xiao Hong.,He continues to look for power outlets in the library.,He goes home to get the charger.,He stays in the library waiting for his sister.,D
"Li Hua is a college student, he is preparing for an important exam in the library. His friend Amei sends him a message, inviting him to a party tonight, this party is a birthday celebration of their mutual friend. At the same time, he receives an email from his tutor, asking him to complete an urgent project report tonight. After considering for a while, Li Hua replies to Amei's message, then continues to stay in the library. At this time, his mobile phone battery is low, and there is no available charging socket nearby.","After Li Hua replies to Amei's message, what does he most likely do?",Continues to prepare for the exam.,Goes home to charge his mobile phone.,Starts to do the project report required by the tutor.,Gives up studying and goes to the party.,B
"Li Hua is in the library, focusing on reading a book about history, preparing for tomorrow's exam. His good friend Wang Gang sends an urgent message, needing his help to solve a math problem. Li Hua checks the message, but he knows if he leaves now, there may not be enough time to complete his review. At the same time, his teacher happens to come over, reminding him that the library is about to close, and asking him if he needs extra materials to help study.","After Li Hua reads the message, what does he do?",He leaves the library to help Wang Gang solve the math problem.,He asks the teacher for help to solve Wang Gang's math problem together.,He asks the teacher to allow him to stay in the library a little longer to help Wang Gang.,He ignores Wang Gang's message and focuses on reading.,D
"On a sunny and breezy afternoon, Li Hua is in his study room, working on a complex math problem. Just as he is about to solve the problem, his younger brother Xiao Qiang runs in, excitedly telling him that there are a group of strange birds outside. Li Hua hesitates for a moment, but decides to continue focusing on his math problem. Suddenly, his phone rings. It is a message from his good friend Xiao Li, inviting him to a basketball game in the afternoon.",What is the most likely action of Li Hua after receiving the message from Xiao Li?,He continues to solve the math problem.,He goes out to observe the strange birds.,"He replies to Xiao Li, then goes to the basketball game.",He turns off his phone and concentrates on the math problem.,A
