STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
"Xiao Hong and Xiao Ming are classmates. Today, when they go to school, all the other classmates in Xiao Hong's class are at school, and Xiao Ming, who usually doesn't like to talk, is sick at home. After school, Xiao Hong goes home, her mother asks her: ""Are all the people in your class at school today?"" Xiao Hong replies: ""Yes, mom.""",Why does Xiao Hong say this?,Xiao Hong deliberately lies to cover up that Xiao Ming does not go to school.,Xiao Hong deliberately lies because Xiao Hong does not go to school today.,Xiao Hong forgets that Xiao Ming is not at school today because Xiao Hong does not go to school today.,"She forgets whether Xiao Ming is at school today or not, because Xiao Ming does not like to talk, she usually does not notice Xiao Ming.",D
"Feng Na plays with her doll in the garden. The sky suddenly starts to rain, her mother calls her to hurry home, she leaves the doll in the garden. While they eat lunch, Feng Na's mother asks Feng Na: ""Do you forget the doll in the garden?"" Feng Na says: ""No, I bring her in, mom.""",Is what Feng Na says true?,Yes,No,,,B
"Feng Na plays with her doll in the garden. The sky suddenly starts to rain, her mother calls her to hurry home, she leaves the doll in the garden. While they eat lunch, Feng Na's mother asks Feng Na: ""Do you forget the doll in the garden?"" Feng Na says: ""No, I bring her in, mom.""",Why does Feng Na say this?,Feng Na intentionally lies about bringing the doll home to cover up the fact that she loses the doll.,Feng Na intentionally lies about bringing the doll home because she worries her mother is afraid to blame her.,Feng Na forgets she doesn't bring the doll home because she rushes home due to the sudden rain and forgets she doesn't bring the doll.,Feng Na forgets she doesn't bring the doll home because she never takes the doll out.,C
"Xiao Li does his math homework in his room. His mom tells him to go to his aunt's house tonight. Xiao Li is busy doing his homework, only thinking about finishing it quickly, and casually agrees. At dinner, his dad asks, ""Are we going to your aunt's house tonight?"" Xiao Li says, ""No, we don't have plans.""",Is what Xiao Li says true?,Yes,No,,,B
"Xiao Li does his math homework in his room. His mom tells him to go to his aunt's house tonight. Xiao Li is busy doing his homework, only thinking about finishing it quickly, and casually agrees. At dinner, his dad asks, ""Are we going to your aunt's house tonight?"" Xiao Li says, ""No, we don't have plans.""",Why does Xiao Li say this?,Xiao Li deliberately lies because he does not want to go to his aunt's house.,Xiao Li forgets the plan his mother tells him because he focuses on his math homework.,Xiao Li deliberately lies because he wants to continue doing homework.,Xiao Li is busy thinking about eating and does not hear his mother's plan for tonight.,B
"Xiao Zhang borrows a book from the library. He reads in the park until it gets dark. His sister sees it is dark and calls him to hurry home. Xiao Zhang rushes home in a hurry. His sister asks, ""Do you return the library book?"" Xiao Zhang says, ""I return it.""",Is what Xiao Zhang says true?,Yes,No,,,B
"Xiao Zhang borrows a book from the library. He reads in the park until it gets dark. His sister sees it is dark and calls him to hurry home. Xiao Zhang rushes home in a hurry. His sister asks, ""Do you return the library book?"" Xiao Zhang says, ""I return it.""",Why does Xiao Zhang say this?,Xiao Zhang deliberately lies because he does not want to get blamed.,Xiao Zhang forgets that he does not return the book because he is too engrossed in reading.,Xiao Zhang deliberately lies because he wants to keep that book.,Xiao Zhang thinks he already returns the book because he usually is punctual.,B
"Li Ming plays football with his friends in the park. After the game ends, he rushes home, forgetting to take the football. He thinks the football is in his backpack. At dinner, Li Ming's brother asks, ""Where is your football? Do you bring it back?"" Li Ming replies, ""It is in my bag.""",Is what Li Ming says true?,Yes,No,,,B
"Li Ming plays football with his friends in the park. After the game ends, he rushes home, forgetting to take the football. He thinks the football is in his backpack. At dinner, Li Ming's brother asks, ""Where is your football? Do you bring it back?"" Li Ming replies, ""It is in my bag.""",Why does Li Ming say this?,Li Ming intentionally lies because he does not want to admit he forgets.,"Li Ming forgets to take the soccer ball, he rushes home.",Li Ming intentionally lies because he fears his brother blames him.,Li Ming remembers he puts the soccer ball in his bag.,B
"Zhang Li buys a new book at the bookstore. When she gets home, she casually puts the book on the sofa and goes to cook dinner.  In the evening, Grandpa asks, ""Where do you put your new book?"" Zhang Li replies, ""I put it on the bookshelf.""",Is what Zhang Li says true?,Yes,No,,,B
"Zhang Li buys a new book at the bookstore. When she gets home, she casually puts the book on the sofa and goes to cook dinner.  In the evening, Grandpa asks, ""Where do you put your new book?"" Zhang Li replies, ""I put it on the bookshelf.""",Why does Zhang Li say this?,Zhang Li really puts the book back on the bookshelf.,Zhang Li lies on purpose because she does not want her grandfather to know she puts things randomly.,Zhang Li remembers she puts the book on the bookshelf.,Zhang Li is busy cooking and forgets where she puts the book.,D
"Wang Qiang plays too late, his mother makes many calls to him to go home. He rushes home, leaves the game controller at his friend's house in a hurry. His mother asks, ""Where is your game controller?"" Wang Qiang answers, ""It is in my bag.""",Does Wang Qiang tell the truth?,Yes,No,,,B
"Wang Qiang plays too late, his mother makes many calls to him to go home. He rushes home, leaves the game controller at his friend's house in a hurry. His mother asks, ""Where is your game controller?"" Wang Qiang answers, ""It is in my bag.""",Why does Wang Qiang say this?,Wang Qiang deliberately lies because he does not want to tell his mother that he lends it out.,Wang Qiang really brings the controller home.,"Wang Qiang deliberately lies because the controller breaks, he does not want to admit.",Wang Qiang forgets that the controller stays at his friend's house.,D
"Xiao Zhao goes to the supermarket to buy things. His uncle tells him to buy a lot of things, and specifically asks him to buy milk for his sister. Xiao Zhao buys a lot of things according to the list, but forgets to buy milk and rushes home.  His uncle asks, ""Do you buy milk?"" Xiao Zhao says, ""I buy.""",Is what Xiao Zhao says true?,Yes,No,,,B
"Xiao Zhao goes to the supermarket to buy things. His uncle tells him to buy a lot of things, and specifically asks him to buy milk for his sister. Xiao Zhao buys a lot of things according to the list, but forgets to buy milk and rushes home.  His uncle asks, ""Do you buy milk?"" Xiao Zhao says, ""I buy.""",Why does Xiao Zhao say this?,Xiao Zhao deliberately lies because he does not want to be blamed.,Xiao Zhao forgets that he does not buy milk because he buys a lot of other things.,Xiao Zhao deliberately lies because he uses the money to buy other things.,Xiao Zhao thinks he buys milk because he usually is very careful.,B
"Li Lei participates in the school's football match. After the match ends, he puts the football in the locker room, but he thinks he brings the ball home. \nIn the evening, his father asks: ""Where is your football?"" Li Lei's answer: ""It is in my bag, Dad.""",Is what Li Lei says true?,Yes,No,,,B
"Li Lei participates in the school's football match. After the match ends, he puts the football in the locker room, but he thinks he brings the ball home. \nIn the evening, his father asks: ""Where is your football?"" Li Lei's answer: ""It is in my bag, Dad.""",Why does Li Lei say this?,Li Lei deliberately lies because he does not want to admit that the football is lost.,Li Lei really thinks the football is in his bag.,Li Lei wants to test whether his father pays attention to his things.,Li Lei forgets that he puts the football in the locker room.,D
"Xiao Chen promises his grandma to water her flowers. He goes to his friend's house to play, rushes out of the house, and forgets about this. He thinks he waters the flowers. \nGrandma asks, ""Do you water my flowers?"" Xiao Chen says, ""I water them.""",Is what Xiao Chen says true?,Yes,No,,,B
"Xiao Chen promises his grandma to water her flowers. He goes to his friend's house to play, rushes out of the house, and forgets about this. He thinks he waters the flowers. \nGrandma asks, ""Do you water my flowers?"" Xiao Chen says, ""I water them.""",Why does Xiao Chen say this?,Xiao Chen intentionally lies because he does not want his grandma to think he does not do well.,Xiao Chen forgets that he does not water the flowers because he is too happy playing at his friend's house.,Xiao Chen intentionally lies because he wants to go play.,Xiao Chen thinks he waters the flowers because he usually is responsible.,B
"Xiao Ming plays frisbee in the park. When the weather turns cold, he hurries home. Xiao Ming forgets that he brings the frisbee home. At dinner, his father asks Xiao Ming, ""Where is your frisbee?"" Xiao Ming replies, ""It is in my room.""",Does Xiao Ming tell the truth?,Yes,No,,,B
"Xiao Ming plays frisbee in the park. When the weather turns cold, he hurries home. Xiao Ming forgets that he brings the frisbee home. At dinner, his father asks Xiao Ming, ""Where is your frisbee?"" Xiao Ming replies, ""It is in my room.""",Why does Xiao Ming say this?,Xiao Ming deliberately lies because he does not want to be reprimanded.,Xiao Ming rushes home and forgets that he does not bring the frisbee home.,"Xiao Ming deliberately lies, worrying that Dad blames him for losing the frisbee.","Xiao Ming thinks the frisbee is in the room, but it is actually in the car.",B
"Li Lei helps with gardening at his grandmother's house. His grandmother asks him to go inside the house to get some flower seeds. He casually puts the scissors he holds at the edge of the flower bed, then goes inside to get the flower seeds. When he comes back, his grandmother asks, ""Where do you put the scissors?"" Li Lei: ""I put it in the house.""",Is what Li Lei says true?,Yes,No,,,B
"Li Lei helps with gardening at his grandmother's house. His grandmother asks him to go inside the house to get some flower seeds. He casually puts the scissors he holds at the edge of the flower bed, then goes inside to get the flower seeds. When he comes back, his grandmother asks, ""Where do you put the scissors?"" Li Lei: ""I put it in the house.""",Why does Li Lei say this?,Li Lei deliberately lies because he fears his grandmother gets angry at him for casually putting the scissors.,"Li Lei goes into the house to get flower seeds, forgets that he puts the scissors in the flower bed.",Li Lei deliberately lies because he does not want his grandmother to get sharp objects.,Li Lei really puts the scissors in the house.,B
"Milly and her colleagues attend an important business meeting together. After the meeting, she is busy arranging the tasks set out in the meeting, forgetting to organize the meeting records. When a colleague asks her if she organizes the meeting records, Milly thinks she should have organized them as usual, and answers, ""Yes, I already put the meeting files on the desk.""",Is what Milly says true?,Yes,No,,,B
"Milly and her colleagues attend an important business meeting together. After the meeting, she is busy arranging the tasks set out in the meeting, forgetting to organize the meeting records. When a colleague asks her if she organizes the meeting records, Milly thinks she should have organized them as usual, and answers, ""Yes, I already put the meeting files on the desk.""",Why does Millie say this?,Emily deliberately lies about putting the documents on the desk to avoid her colleagues blaming her.,Emily deliberately lies about putting the documents on the desk to show her efficient work attitude.,Emily forgets that she does not bring the meeting record documents back to the company because she thinks the documents are not very important.,Emily forgets that she does not bring the meeting record documents back to the company because she is busy dealing with other work when she leaves.,D
"Xiaoling promises her mother to help her clean up the room. Then, she receives a call from a friend and gets invited to a party. Xiaoling happily leaves the house, completely forgetting her mother's request. When she comes home at night, her mother asks: ""Do you clean up the room?"" Xiaoling recalls that she seems to clean up and says: ""Of course, I tidy up very neatly.""",Is what Xiaoling says true?,Yes,No,,,B
"Xiaoling promises her mother to help her clean up the room. Then, she receives a call from a friend and gets invited to a party. Xiaoling happily leaves the house, completely forgetting her mother's request. When she comes home at night, her mother asks: ""Do you clean up the room?"" Xiaoling recalls that she seems to clean up and says: ""Of course, I tidy up very neatly.""",Why does Xiaoling say this?,Xiaoling deliberately lies because she fears her mother gets angry.,Xiaoling forgets that she only cleans a part,Xiaoling deliberately lies because she prefers to attend her friend's party.,Xiaoling thinks she cleans up because she usually takes such tasks seriously.,B
"Zhang Feng participates in the school's art exhibition. After the exhibition ends, he leaves his sketchbook in the classroom, but mistakenly thinks he puts it back in his backpack. At night, his mother asks, ""Where is your sketchbook?"" Zhang Feng replies, ""I put it back in my backpack, Mom.""",Does Zhang Feng tell the truth?,Yes,No,,,B
"Zhang Feng participates in the school's art exhibition. After the exhibition ends, he leaves his sketchbook in the classroom, but mistakenly thinks he puts it back in his backpack. At night, his mother asks, ""Where is your sketchbook?"" Zhang Feng replies, ""I put it back in my backpack, Mom.""",Why does Zhang Feng say this?,Zhang Feng intentionally lies because he does not want his mother to worry.,Zhang Feng remembers the sketchbook is in his backpack.,Zhang Feng wants to test if his mother cares about his sketchbook.,Zhang Feng forgets he leaves the sketchbook in the classroom.,D
"Wang Ting participates in the school's art exhibition, and her artwork receives an award. After the exhibition ends, she puts the certificate in her backpack, but she thinks she hangs the certificate on the wall. In the evening, her mother asks, ""Where is your certificate?"" Wang Ting's reply, ""It hangs on the wall, Mom.""",Is what Wang Ting says true?,A. Yes,B. No,,,B
"Wang Ting participates in the school's art exhibition, and her artwork receives an award. After the exhibition ends, she puts the certificate in her backpack, but she thinks she hangs the certificate on the wall. In the evening, her mother asks, ""Where is your certificate?"" Wang Ting's reply, ""It hangs on the wall, Mom.""",Why does Wang Ting say this?,Wang Ting deliberately lies because she does not want her mother to know the certificate is still in the backpack.,Wang Ting remembers the certificate is on the wall.,Wang Ting wants to test whether her mother pays attention to her exhibition results.,Wang Ting forgets she puts the certificate in her backpack.,D
"Xiao Ming promised his mom to help tidy up the desk at home, but he left in a hurry and forgot that he hadn't finished tidying up completely. When he returns home, his mom asks, ""Is the desk tidied up?"" Xiao Ming thinks for a moment and says, ""It's tidied up.""",Is what Xiao Ming says true?,A. Yes,B. No,,,B
"Xiao Ming promised his mom to help tidy up the desk at home, but he left in a hurry and forgot that he hadn't finished tidying up completely. When he returns home, his mom asks, ""Is the desk tidied up?"" Xiao Ming thinks for a moment and says, ""It's tidied up.""",Why does Xiao Ming say this?,Xiao Ming intentionally lies because he does not want his mother to get angry.,Xiao Ming forgets that he tidies up but does not completely tidy up the desk.,Xiao Ming intentionally lies because he wants to continue doing what he likes.,Xiao Ming thinks he completely tidies up the desk because he usually does.,B
"Xiao Ling promised to help her mom buy groceries. Her mom told her to make sure to buy carrots. When she left, she ran into her good friend, and they went to buy groceries together. Xiao Ling bought a lot of groceries and, in the joy of chatting, forgot to buy carrots. Her mom asks, ""Have you brought back all the groceries?"" Xiao Ling looks at the many groceries and thinks for a moment and says, ""I've brought them back.""",Is what Xiao Ling says true?,A. Yes,B. No,,,B
"Xiao Ling promised to help her mom buy groceries. Her mom told her to make sure to buy carrots. When she left, she ran into her good friend, and they went to buy groceries together. Xiao Ling bought a lot of groceries and, in the joy of chatting, forgot to buy carrots. Her mom asks, ""Have you brought back all the groceries?"" Xiao Ling looks at the many groceries and thinks for a moment and says, ""I've brought them back.""",Why does Xiaoling say this?,Xiaoling deliberately lies because she does not want her mother to be angry.,Xiaoling forgets that she does not buy carrots because she is too happy chatting with her friend.,Xiaoling deliberately lies because she wants more free time with her friends.,Xiaoling thinks she buys all the groceries because she is usually very careful.,B
"Li Ming and Xiao Hong are preparing to participate in the school's evening party, but Li Ming has forgotten the dance steps for his performance. When Xiao Hong asks him, ""How do we perform?"" Li Ming tries hard to remember and quickly answers, ""Of course, it's left turn, right turn, and then jump.""",Is what Li Ming says true?,A. Yes,B. No,,,B
"Li Ming and Xiao Hong are preparing to participate in the school's evening party, but Li Ming has forgotten the dance steps for his performance. When Xiao Hong asks him, ""How do we perform?"" Li Ming tries hard to remember and quickly answers, ""Of course, it's left turn, right turn, and then jump.""",Why does Li Ming answer like this?,Li Ming does not want to tell Xiao Hong the specific steps of the dance.,Li Ming forgets the dance steps of his dance performance.,"Li Ming intentionally provides incorrect information, wanting the performance to go wrong.","Li Ming indeed thinks that turning left, turning right, jumping up are the correct performance steps.",B
"At an important business meeting, Li Hua is representing the company for a presentation. Halfway through the meeting, Li Hua suddenly forgets a key piece of data. When asked, he hastily answers, ""Our annual growth rate is 20%."" However, the actual data is 30%. His response confuses the attendees.",Is what Li Hua says true?,A. Yes,B. No,,,B
"At an important business meeting, Li Hua is representing the company for a presentation. Halfway through the meeting, Li Hua suddenly forgets a key piece of data. When asked, he hastily answers, ""Our annual growth rate is 20%."" However, the actual data is 31%. His response confuses the attendees.",Why does Li Hua answer like this?,Li Hua intentionally confuses the data to get more investment.,Li Hua forgets the correct annual growth rate data.,Li Hua wants to test whether the attendees really pay attention to the company's data.,"Li Hua thinks 20% is more acceptable, so he intentionally changes the data.",B
"At a friend's gathering, Li Ming learns that his friend Xiao Hong is going to Beijing. A week later, Li Ming unexpectedly meets Xiao Hong in Beijing, and he asks in surprise, ""Xiao Hong, how come you're here?"" Xiao Hong replies with a smile, ""Didn't you ask me last week which city I was going to?""",Is what Li Ming says true?,A. Yes,B. No,,,B
"At a friend's gathering, Li Ming learns that his friend Xiao Hong is going to Beijing. A week later, Li Ming unexpectedly meets Xiao Hong in Beijing, and he asks in surprise, ""Xiao Hong, how come you're here?"" Xiao Hong replies with a smile, ""Didn't you ask me last week which city I was going to?""",Why does Li Ming say this?,Li Ming forgets the city Xiao Hong is about to go to that he discusses with her last week.,"Li Ming knows the city Xiao Hong is going to, but he pretends to be surprised.",Xiao Hong does not tell Li Ming the city she is about to go to at the party.,Li Ming does not expect to meet Xiao Hong.,A
"Li Tong and Wang Hong are best friends. They both participate in the same painting competition. Now, Li Tong really wants to win this competition, but when the competition results come out, the winner of the competition is her best friend Wang Hong, not her. Li Tong is very upset that she does not win, but she feels happy for her friend who wins. Li Tong says to Wang Hong: ""Good job, I am really happy you win!"" Li Tong says to her mom: ""I am very sad, I do not win the competition!"" Is what Li Tong says to Wang Hong true?",Is what Li Tong says to Wang Hong true?,Yes,No,,,A
"Li Tong and Wang Hong are best friends. They both participate in the same painting competition. Now, Li Tong really wants to win this competition, but when the competition results come out, the winner of the competition is her best friend Wang Hong, not her. Li Tong is very upset that she does not win, but she feels happy for her friend who wins. Li Tong says to Wang Hong: ""Good job, I am really happy you win!"" Li Tong says to her mom: ""I am very sad, I do not win the competition!"" Is what Li Tong says to Wang Hong true?",Why does Li Tong say she is both happy and sad?,"She is happy that Wang Hong wins the competition, she is sad and very jealous that Wang Hong wins the competition.",She is happy that Wang Hong wins the competition and is not sad about it.,She is happy that Wang Hong wins the competition but is sad that Wang Hong does not comfort her for not winning the competition.,She is happy that Wang Hong wins the competition but is sad that she does not win the competition.,D
"Zhang Ming gets a promotion at work, but his good friend Zhao Lei does not. They have a conflict recently, but Zhang Ming still goes to Zhao Lei. Zhang Ming says to Zhao Lei: ""I know you work hard!"". After going home, Zhang Ming says to his sister: ""I am really sad, but I finally get what I want""",Is what Zhang Ming says to his sister true?,Yes,No,,,A
"Zhang Ming gets a promotion at work, but his good friend Zhao Lei does not. They have a conflict recently, but Zhang Ming still goes to Zhao Lei. Zhang Ming says to Zhao Lei: ""I know you work hard!"". After going home, Zhang Ming says to his sister: ""I am really sad, but I finally get what I want""",Why is Zhang Ming both happy and sad?,"He is happy that he gets promoted, but sad that Zhao Lei does not.","He is happy that Zhao Lei does not get promoted, so he can get the promotion alone.","He is sad that he gets promoted, because he does not like the extra work responsibility.","He is happy that he gets promoted, but sad that he has a conflict with Zhao Lei.",A
"Sun Wu and Liu Yun are good friends, they sign up together to participate in a marathon. Usually, Sun Wu runs much faster than Liu Yun. Sun Wu twists his ankle halfway and cannot run. Although Liu Yun sees him injured, he does not stop. Liu Yun wins first place, while Sun Wu does not finish the race. Sun Wu says to Liu Yun, ""Great, you are really amazing!"" At night when he gets home, Sun Wu says to his brother, ""I feel very disappointed, it should not be like this.""",Is what Sun Wu says to his brother true?,Yes,No,,,A
"Sun Wu and Liu Yun are good friends, they sign up together to participate in a marathon. Usually, Sun Wu runs much faster than Liu Yun. Sun Wu twists his ankle halfway and cannot run. Although Liu Yun sees him injured, he does not stop. Liu Yun wins first place, while Sun Wu does not finish the race. Sun Wu says to Liu Yun, ""Great, you are really amazing!"" At night when he gets home, Sun Wu says to his brother, ""I feel very disappointed, it should not be like this.""",Why does Sun Wu say he is both happy and disappointed?,"He is happy that Liu Yun wins, but disappointed and jealous of Liu Yun's achievement.","He is happy that Liu Yun wins, and does not feel disappointed because of this.","He is happy that Liu Yun wins, but disappointed that he does not finish the race.","He is happy that Liu Yun wins, but disappointed that Liu Yun does not help him.",C
"Zhou Jing and Zhao Lei jointly participate in a startup project, Zhao Lei receives the award for the best entrepreneur, the entire startup project wins the first prize. In the early stage of the startup project, Zhou Jing puts in a lot of effort, which leads to illness and she does not do much afterwards. Zhou Jing says to Zhao Lei: ""I am very happy, you are really amazing, congratulations on becoming the best entrepreneur!"" Zhao Lei only expresses his thanks for her blessings. Zhou Jing tells her friend Xiao Chen: ""I am very upset.""",Is what Zhou Jing says to Zhao Lei true?,Yes,No,,,A
"Zhou Jing and Zhao Lei jointly participate in a startup project, Zhao Lei receives the award for the best entrepreneur, the entire startup project wins the first prize. In the early stage of the startup project, Zhou Jing puts in a lot of effort, which leads to illness and she does not do much afterwards. Zhou Jing says to Zhao Lei: ""I am very happy, you are really amazing, congratulations on becoming the best entrepreneur!"" Zhao Lei only expresses his thanks for her blessings. Zhou Jing tells her friend Xiao Chen: ""I am very upset.""",Why does Zhou Jing say she is both happy and depressed?,"She is happy that Zhao Lei wins the best entrepreneur, but is depressed that she does not win the award.","She is happy that her startup project wins the first prize, and does not feel depressed because of this.","She is happy that her startup project wins the first prize, but is depressed that she does not receive recognition.","She is happy that Zhao Lei receives recognition, but is depressed that Zhao Lei does not thank her for her contribution.",A
"Li Ming and Zhang Nan participate in the school debate competition, Zhang Nan wins the best debater award, the whole team gets the final victory. As the team leader, Li Ming guides every teammate's debate manuscript, puts in a lot of effort.\nLi Ming says to Zhang Nan: ""I am very happy, you are really great, congratulations on winning the award!"" Li Ming says to his sister: ""I am really sad.""",Is what Li Ming says to Zhang Nan true?,Yes,No,,,A
"Li Ming and Zhang Nan participate in the school debate competition, Zhang Nan wins the best debater award, the whole team gets the final victory. As the team leader, Li Ming guides every teammate's debate manuscript, puts in a lot of effort.\nLi Ming says to Zhang Nan: ""I am very happy, you are really great, congratulations on winning the award!"" Li Ming says to his sister: ""I am really sad.""",Why does Li Ming say he is both happy and disappointed?,"He is happy that Zhang Nan wins the award, but is disappointed that Zhang Nan does not acknowledge his contribution.","He is happy that the debate team wins the competition, but his efforts do not get rewarded.","He is happy that Zhang Nan wins the award, but is disappointed that he does not win an award.","He is happy that the debate team wins the competition, but is disappointed that Zhang Nan does not acknowledge his contribution.",C
"Zhao Li and her friend Wang Qiang complete a project together. The manager praises the entire project team at the annual meeting, but only promotes Wang Qiang. \nZhao Li says to Wang Qiang: ""I am really happy, congratulations, you really deserve this promotion!"" When she goes home at night, Zhao Li says to her sister: ""I am disappointed, I can't believe I am treated like this.""",Is what Zhao Li says to her sister true?,Yes,No,,,A
"Zhao Li and her friend Wang Qiang complete a project together. The manager praises the entire project team at the annual meeting, but only promotes Wang Qiang. \nZhao Li says to Wang Qiang: ""I am really happy, congratulations, you really deserve this promotion!"" When she goes home at night, Zhao Li says to her sister: ""I am disappointed, I can't believe I am treated like this.""",Why does Zhao Li say she is both happy and disappointed?,"She is happy that Wang Qiang gets promoted, but is disappointed and jealous of him.","She is happy that Wang Qiang gets promoted, but is disappointed that her efforts are not recognized.","She is happy that the entire group gets praised, but is disappointed that she does not get promoted.","She is happy that the entire group gets praised, but is disappointed that Wang Qiang does not thank her for her help.",B
"Li Hua and her roommate Wang Lei participate in a knowledge competition together, their team gets the first place in the whole competition, but only Wang Lei gets an individual ranking. Li Hua says to Wang Lei: ""I am really happy, congratulations on getting the ranking""; when she returns to the dormitory at night, she says to her brother: ""I am really sad.""",Is what Li Hua says to her brother true?,Yes,No,,,A
"Li Hua and her roommate Wang Lei participate in a knowledge competition together, their team gets the first place in the whole competition, but only Wang Lei gets an individual ranking. Li Hua says to Wang Lei: ""I am really happy, congratulations on getting the ranking""; when she returns to the dormitory at night, she says to her brother: ""I am really sad.""",Why is Li Hua both happy and sad?,"She is happy that the team gets the first place overall, but sad that she does not get a ranking.","She is happy because Wang Lei gets a ranking, but sad that others think she is worse than Wang Lei.","She is happy that the team gets the first place overall, but sad that Wang Lei does not recognize her efforts.","She is happy because Wang Lei gets a ranking, but sad that she does not get an individual ranking.",D
