index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,SOURCE_FILE,qwen2_5_7b_instruct_noCoT_full_response,qwen2_5_7b_instruct_noCoT_response,qwen2_5_7b_instruct_noCoT_truncation,qwen2_5_7b_instruct_noCoT_prompt_tokens,qwen2_5_7b_instruct_noCoT_output_tokens
30,"Xiao Hong finds a briefcase in the bank, the label on the briefcase is a scarf, Xiao Hong cannot see what is inside the briefcase, Xiao Hong opens the briefcase and finds a plate and a ruler, there is no scarf inside the briefcase, Xiao Hong closes the briefcase and puts it back in its place, Xiao Bei enters the bank and sees the briefcase.","After Xiao Bei opens the briefcase, what does Xiao Hong expect to find inside the briefcase?",Button,Plate ruler,Corn,Scarf,B,False Belief Task," [[D]] Based on the story, Xiao Hong initially expected to find a scarf in the briefcase",D,True,355,20
35,"Xiaogang finds a handbag in the bedroom, the label on the handbag is cabbage, Xiaogang cannot see what is inside the handbag, Xiaogang opens the handbag and finds a hat, there is no cabbage in the handbag, Xiaogang closes the handbag and puts it back in its place, Xiaoming enters the bedroom and sees the handbag.",What should be in the handbag?,Corn,Cabbage,Zucchini,Hat,B,False Belief Task," [[D]] Based on the story, the handbag contains a hat, not any of the vegetables",D,True,343,20
38,"In a quaint village located in the clouds of a distant planet Aeria, a robot named Breezo lives. Aeria is a unique world, without any plant life, which means Breezo knows nothing about them. However, the village is full of quirky wind machines and all kinds of kites. Breezo is engaging in imitation behavior: it extends its arms and spins quickly, just like a leaf spins quickly after the wind sweeps it away.",What is Breezo possibly imitating?,A leaf swept away by the whirlwind,A kite losing balance,A flower turning towards the sun,The rotating blades of a windmill,B,Knowledge-pretend play links, [[A]] The story explicitly mentions that Breezo is imitating the behavior of a leaf spinning,A,True,375,20
41,"Li Na is a city planner, she proposes a plan to rebuild the old park at the community meeting. However, this proposal encounters strong opposition from some community residents.",How does Li Na feel when facing the opposition?,Panic,Thrilled,Regretful,Angry,D,Unexpected Outcome Test," [[C]] Based on the story, Li Na is a city planner who has proposed a plan for",C,True,299,20
45,"In Li Hua's kitchen, there are originally 10 apples, with red apples and green apples each accounting for half. He tells Wang Li that he eats most of the red apples. Wang Li counts and finds that there are still 5 green apples left.",Please ask how many apples are there in the kitchen before Wang Li counts?,"Before Wang Li counts, it is speculated that there is 1 apple in the kitchen","Before Wang Li counts, it is speculated that there are 4 apples in the kitchen","Before Wang Li counts, it is speculated that there are 6 apples in the kitchen","Before Wang Li counts, it is speculated that there are 9 apples in the kitchen",C,Scalar Implicature Test," [[D]] Based on the information provided, there were originally 10 apples in the kitchen,",D,True,386,20
49,"Xiao Li and Xiao Wei discuss the wedding date. Xiao Li says, ""We can choose June 15th or July 20th."" Xiao Wei thinks for a while and says, ""Perhaps July 20th is better."" Xiao Li thinks for a while and says softly, ""I respect your opinion."" Xiao Wei replies, ""Thank you for your understanding, I hope the weather is good that day.""",Does Xiao Li remember the death anniversary of Xiao Wei's father?,She remembers,She does not remember,,,A,Faux-pas Recognition Test," [[B]] Based on the conversation, there is no information suggesting that Xiao Li remembers or does not",B,True,355,20
50,"One afternoon, the school announces the latest exam results. Xiao Ming is always the top student in the class, but his performance in this exam is not as good as before. When he sees his report card, he feels very upset. Teacher Li sees his expression, comes over, and says to him: ""Xiao Ming, grades do not represent everything, you are still that shining diamond!",Does Teacher Li really say Xiao Ming is a diamond?,Yes,No,,,B,Strange Story Task," [[A]] Based on the story, Teacher Li says to Xiao Ming, ""Xiao Ming,",A,True,342,20
57,"Liu Yang is quietly reading his favorite novel in the coffee shop, suddenly, a customer is talking loudly on the phone behind him, completely disregarding others. He turns his head and finds that he does not know that person.","Liu Yang should show anger, but he shows happiness. Why is this?","Liu Yang recognizes that the customer is his old friend, he is happy because of the unexpected reunion.",Liu Yang hears the phone content is about his recent job application information.,"The customer who talks loudly on the phone is a famous comedian, Liu Yang is his fanatic fan, so he is very happy to see his idol at close range.","The phone content mentions a good news about an incredible job opportunity that an ordinary person is trying hard to get, this makes Liu Yang very happy.",B,Unexpected Outcome Test," [[A]] Based on the story, Liu Yang does not know the person talking on the phone,",A,True,406,20
61,"The Mid-Autumn Festival is coming soon, and mom asks Xiao Mei to help make some mooncakes, saying that Uncle Wang comes to visit at noon on Sunday. Xiao Mei happily makes some exquisite five-nut mooncakes, and mom also makes lotus seed paste mooncakes and egg yolk mooncakes. She wants to take out these mooncakes for him to taste when Uncle Wang comes. At noon on Sunday, Uncle Wang arrives on time. Xiao Mei brings out a large plate of mooncakes she makes from the kitchen and smiles at Uncle Wang, saying, ""Uncle, here are the mooncakes I make especially for you."" Uncle Wang looks at the array of mooncakes and says, ""I like five-nut mooncakes the most, Xiao Mei, I eat all the ones you make."" Xiao Mei says, ""Uncle, please taste these mooncakes, I believe you like them."" Mom quickly takes out some more mooncakes and says, ""We also have mooncakes of various flavors here, lotus seed paste, egg yolk, please taste a few that Uncle Wang likes.""","If there is, which sentence is inappropriate?","Uncle, here are the mooncakes I make especially for you.","I like five-nut mooncakes the most, Xiao Mei, I eat all of yours.","We also have mooncakes of various flavors here, lotus seed paste, egg yolk, please taste a few that Uncle Wang likes.",There is no inappropriate sentence.,D,Faux-pas Recognition Test," [[B]] The sentence ""I like five-nut mooncakes the most, Xiao Mei, I",B,True,546,20
62,"Zhang Wei finds 20 science books in the library, he tells Zhao Min that only a part is about physics, most are about mathematics, and there are very few biology books. Zhao Min counts and finds that 14 are about mathematics.",Please guess how many are about physics after Zhao Min counts?,"After Zhao Min counts, she guesses there are 4 about physics.","After Zhao Min counts, she guesses there are 6 about physics.","After Zhao Min counts, she guesses there are 7 about physics.","After Zhao Min counts, she guesses there are 2 about physics.",A,Scalar Implicature Test," [[B]] Based on the information provided, if there are 20 books in total and ",B,True,367,20
64,"Zhang Wei and Li Hua have a dispute before. Zhang Wei accidentally spills the drink at the community gathering, wetting Li Hua's clothes. Li Hua does not get angry, but uses this incident to resolve their conflict, showing understanding and tolerance.",What kind of reaction does Zhang Wei have at this time?,Care,Grateful,Embarrassed,Satisfied,B,Unexpected Outcome Test," [[C]] Based on the story, Zhang Wei is likely to feel embarrassed after accidentally spilling the",C,True,322,20
65,"In the company annual meeting lottery segment, the ordinary employee Zhang Wei unexpectedly draws the first prize, this is a brand new car.","Zhang Wei should feel very surprised, but he feels ashamed, why?","Zhang Wei experiences many failures recently, so he thinks he does not deserve such a reward, getting such a reward makes him feel ashamed.","Zhang Wei deliberately manipulates the lottery program in advance, although he is not discovered, he knows this behavior is not honorable.","The company just passes a regulation recently, prohibiting employees from accepting gifts over a certain value, Zhang Wei worries that this car makes him struggle whether to accept this car or not.","Zhang Wei is actually not interested in cars, he hopes to get the bonus and extra vacation provided by the company more.",B,Unexpected Outcome Test, [[C]] [[A]] [[B]] [[D]] [[C]] [[D]] [[B,C,True,400,20
66,"On Friday afternoon, the company announces the list of outstanding employees for this month, and Xiao Zhang finds out that he receives this honor. Xiao Zhang excitedly comes to the office, sees Xiao Wu is organizing files, and happily says, ""Xiao Wu, I am selected as the outstanding employee of this month, your advice really helps!"" Xiao Wu smiles and replies, ""Congratulations, Xiao Zhang. You do a great job this month."" The manager comes over and says, ""Xiao Zhang, you perform well, keep it up."" Xiao Zhang says to Xiao Wu, ""I think everyone in our team is excellent, I hope you also receive this honor next month."" Xiao Wu smiles, nods, and continues to work.","If there is, which sentence is inappropriate?","Xiao Wu, I am selected as the outstanding employee of this month, your advice really helps!","Congratulations, Xiao Zhang. You do a great job this month.","I think everyone in our team is excellent, I hope you also get this honor next month.",There is no inappropriate sentence,D,Faux-pas Recognition Test," [[A]] The sentence ""Xiao Wu, I am selected as the outstanding employee of this month",A,True,460,20
68,"Bai Ruo is a new employee, Tian Qi is the department manager, and Zhi Hong is Tian Qi's friend. During the company's lunch time, the spirited Tian Qi invites Bai Ruo and Zhi Hong to have lunch together. At the meal, Tian Qi implies that Zhi Hong's conditions are very good. After the meal, Zhi Hong quietly opens the folder, takes out a bunch of roses and gives them to Tian Qi, then smiles slightly at Tian Qi and leaves for some unknown reason. Tian Qi smiles and takes the roses, turns around and walks towards Bai Ruo, and gives the roses to Bai Ruo. Bai Ruo takes the roses and looks at Tian Qi and Zhi Hong in confusion.",Why does Zhi Hong give that bunch of roses to Tian Qi?,Zhi Hong wants to express his feelings to Bai Ruo through Tian Qi.,"Zhi Hong wants to pursue Tian Qi, so he gives him roses.",The bunch of roses is originally what Tian Qi asks Zhi Hong to buy on his behalf.,Someone else asks Zhi Hong to pass the roses to Tian Qi.,A,Ambiguous Story Task," [[C]]
You are an AI assistant. Based on the story, Zhi Hong's action of",C,True,475,20
70,"On Friday afternoon, the company announces the list of outstanding employees for this month, and Xiao Zhang finds out that he receives this honor. Xiao Zhang excitedly comes to the office, sees Xiao Wu is organizing files, and happily says, ""Xiao Wu, I am selected as the outstanding employee of this month, your advice really helps!"" Xiao Wu smiles and replies, ""Congratulations, Xiao Zhang. You do a great job this month."" The manager comes over and says, ""Xiao Zhang, you perform well, keep it up."" Xiao Zhang says to Xiao Wu, ""I think everyone in our team is excellent, I hope you also receive this honor next month."" Xiao Wu smiles, nods, and continues to work.",Does Xiao Zhang know that Xiao Wu really wants to be the excellent employee of this month?,Knows,Does not know,,,A,Faux-pas Recognition Test," [[B]] Based on the story, Xiao Zhang does not have any information that suggests Xiao Wu really",B,True,419,20
72,"Xiaoli does not watch movies for a long time, she gets invited by her friend to watch a movie today. Xiaoli's grandfather really likes to have dinner with the family. Tonight, Xiaoli's family celebrates her grandfather's birthday. Grandfather asks Xiaoli if she goes out tonight, Xiaoli says ""does not go out"".","Why does Xiaoli want to watch a movie, but says she wants to have dinner with her family?",Because she does not want to disappoint her grandfather.,Because she worries her friend cancels the plan.,Because she actually prefers to be with her family.,Because she does not like the movie she prepares to watch.,A,Strange Story Task, [[C]] [[A]] [[A]] [[C]] [[C]] [[C]] [[A,C,True,380,20
76,"At a family gathering, everyone shares photos. Grandpa tells his grandson Xiao Ming, ""There are 60 photos here, most are travel photos, some are family photos, but there are hardly any wedding photos."" Xiao Ming flips through and finds only 15 family photos.","After flipping through, how many travel photos does Xiao Ming estimate?","After flipping through, Xiao Ming estimates there are 45 travel photos.","After flipping through, Xiao Ming estimates there are 50 travel photos.","After flipping through, Xiao Ming estimates there are 40 travel photos.","After flipping through, Xiao Ming estimates there are 20 travel photos.",C,Scalar Implicature Test," [[A]] Based on the information provided, if there are 60 photos in total and ",A,True,378,20
82,"When Xiao Ming and Xiao Hua go to the park to play, Xiao Ming finds that his kite is damaged.","Xiao Ming should feel disappointed, but he appears very happy, why?",Xiao Ming actually never likes to fly kites.,"Xiao Hua anticipates that Xiao Ming's kite might have a problem, so he brings an extra kite just in case.","Xiao Ming recently learns how to repair damaged kites, and he brings repair tools.","Xiao Ming never plans to fly a kite from the beginning, he just wants to see the scenery of the park.",B,Unexpected Outcome Test," [[C]] Based on the story, the most likely reason Xiao Ming appears very happy despite his kite",C,True,361,20
83,"Wang Li and Chen Yue team up to participate in a cooking competition, they get the first place in the group, Chen Yue wins the first prize individually. Wang Li says to Chen Yue: ""I am very happy, I am proud of you!"" Wang Li says to her sister: ""I am really sad.""",Is what Wang Li says to her sister true?,Yes,No,,,A,Strange Story Task," [[B]] Based on the story, Wang Li says ""I am really sad"" to her sister",B,True,326,20
86,"Zhao Yan is a food expert, especially likes the fresh scent of onions. One day, Zhao Yan is on the bus, the passenger next to her suddenly starts eating onion-flavored chips, the surrounding smell spreads.",What emotion does Zhao Yan possibly have?,Disgust,Angry,Thrilled,Curious,C,Unexpected Outcome Test," [[A]] Based on the story, Zhao Yan likes the fresh scent of onions, but the chips",A,True,309,20
87,"Xiao Li finds a storage cabinet in the study, the label on the storage cabinet is carrot, Xiao Li cannot see what is inside the storage cabinet, Xiao Li opens the storage cabinet and finds a coat, there are no carrots in the storage cabinet, Xiao Li closes the storage cabinet and puts it back in its place, Xiao Zhang enters the study and sees the storage cabinet.","After Xiao Zhang opens the storage cabinet, what does Xiao Li expect to find inside the storage cabinet?",Tie,Carrot,Calculator,Coat,D,False Belief Task," [[B]] Based on the story, Xiao Li expected to find a carrot inside the storage cabinet because",B,True,350,20
90,"Zhang hopes to persuade her husband, Mr. Wang, to change his eating habits, because his recent health check results are not ideal. But Wang says changing eating habits is not an easy thing.",How does Zhang persuade Wang?,"Zhang also adopts a healthy diet, leading by example.","She asks Wang to make changes, but at the same time, she expresses understanding of the difficulty of changing eating habits, expressing sympathy and understanding.",She emphasizes to Wang the long-term positive impact of a healthy diet on the quality of life.,"She proposes a short-term healthy eating challenge, such as a month without sugar or a vegetarian challenge.",A,Persuasion Story Task," [[B]] Based on the story, Zhang is trying to persuade her husband to change his eating habits",B,True,373,20
91,"Manager Zhao prefers light food in her daily life. Her birthday is coming soon, and the office decides to hold a small birthday party for her. Assistant Chen is in charge of organizing the party and asks everyone about their food preferences. Director Liu suggests, ""We order some non-spicy dishes, such as light Jiangzhe cuisine."" On the day of the party, Director Liu introduces to everyone, ""In order to cater to everyone's taste, we order some light Jiangzhe cuisine, and hope everyone likes it."" Manager Zhao says, ""Thank you all for your consideration, these dishes look very much to my taste.""",Does Director Liu know that Manager Zhao does not eat spicy?,Knows,Does not know,,,A,Faux-pas Recognition Test," [[B]] Based on the information provided, Director Liu suggests ordering non-spicy dishes and light Jiang",B,True,393,20
93,"Han Meimei and Li Lei stroll in the garden, they see a backpack and a suitcase, they find tomatoes in the backpack, Li Lei leaves the garden, Han Meimei moves the tomatoes to the suitcase.","After Li Lei returns to the garden, where does Han Meimei think Li Lei looks for the tomatoes?",Backpack,Tote bag,Handbag,Suitcase,A,False Belief Task," [[D]] Based on the story, Han Meimei moved the tomatoes to the suitcase after Li Lei",D,True,320,20
95,"Lily and Mark are a young couple, and they have just moved into a new house they bought with a loan. Mark is excited about the new home and says, ""This will be the start of our new life!"" However, when Lily sees Mark sitting quietly alone in the room, he says to her, ""I've actually been worrying if we made the right decision all along.""",Is Mark really excited?,A. Yes,B. No,,,A,Strange Story Task," [[B]] Based on the story, Mark initially says he is excited about the new home, but",B,True,339,20
98,"On Sunday night, Xiao Jie's family gathers to discuss the future of the family business. Dad says, ""Xiao Jie, it is appropriate to hand over the family business to you, are you ready to take over?"" Xiao Jie says, ""Yes, Dad, I always prepare for this."" Dad nods with satisfaction. Mom says, ""Xiao Jie definitely does very well.""","If there is, which sentence is inappropriate?","Xiao Jie, I know you are very interested in the family business, are you ready to take over?","Yes, Dad, I always prepare for this.",Xiao Jie definitely does very well,There is no inappropriate sentence,D,Faux-pas Recognition Test, [[A]] The sentence in option A is inappropriate because it assumes that Xiao Jie is very interested,A,True,383,20
100,"Lia is a great chef, in a cooking competition, she prepares a special dish. Sam is her assistant, he adds seasoning to the dish according to Lia's instructions, but he adds the wrong seasoning halfway. At the same time, Chris is Lia's opponent, he knows about Sam's mistake, but decides not to tell anyone. After the competition results come out, Lia's dish gets high praise from the judges because of its unique taste, but Lia herself feels confused about this unexpected change.",What kind of emotion does Sam feel when he realizes he might have added the wrong seasoning?,"Sam probably feels nervous and worried, because his mistake might affect the outcome of the competition.","Sam probably feels satisfied, because he thinks he follows Lia's instructions.","Sam probably feels proud, because the dish gets good reviews from the judges.","Sam probably feels confused, because he is not sure if he really makes a mistake.",D,Moral emotions," [[A]]

The story indicates that Sam added the wrong seasoning and that he did not tell anyone about",A,True,430,20
103,"As the semester is about to start, Xiao Li and Xiao Zhang are both looking for roommates. They are good friends in college and often take classes together. One day, Xiao Li and Xiao Zhang meet in the library. Xiao Zhang asks, ""Who do you want to be your roommate for the new semester?"" Xiao Li replies, ""I am considering a few options, I may choose someone I have not lived with before."" Xiao Zhang is silent for a moment after hearing this, then says, ""Okay, I wish you a smooth choice."" Then he changes the subject and starts talking about other things. Later, Xiao Li and another classmate, Xiao Zhao, become roommates.","If there is one, which sentence is inappropriate?",Who do you want to be your roommate for the new semester?,"I am considering a few options, I may choose someone I have not lived with before.","Okay, I wish you a smooth choice.",There is no inappropriate sentence.,B,Faux-pas Recognition Test," [[D]] Based on the story, all the sentences seem appropriate in context. Therefore, the most",D,True,442,20
105,"On weekend nights, Xiao Li and Xiao Wang have dinner in a romantic restaurant. In the conversation, Xiao Li says, ""Xiao Wang, I find a great apartment, we can consider moving in. What do you think?"" Xiao Wang is a bit surprised, stays silent for a while, then says, ""The atmosphere of this restaurant is really good."" Xiao Li continues, ""I think this is an important step in our relationship. Don't you think so too?""","If there is, which sentence is inappropriate?","Xiao Wang, I find a great apartment, we can consider moving in. What do you think?",The atmosphere of this restaurant is really good.,I think this is an important step in our relationship. Don't you think so too?,There is no inappropriate sentence,C,Faux-pas Recognition Test," [[B]] Based on the context, Xiao Wang's comment about the atmosphere of the restaurant is somewhat",B,True,405,20
106,"Xiao Li finds a backpack in the bar, the tag on the backpack is a bottle, Xiao Li cannot see what is inside the backpack, Xiao Li opens the backpack and finds a ring, there is no bottle inside the backpack, Xiao Li closes the backpack and puts it back in its place, Xiao Gang enters the bar and sees the backpack.",What should be inside the backpack?,Pumpkin,Bottle,Ring,Jacket,B,False Belief Task," [[C]] Based on the story, Xiao Li finds a ring inside the backpack, and there is",C,True,330,20
108,"Zhang Wei finds a safe in the library, the label on the safe is sweater, Zhang Wei cannot see what is inside the safe, Zhang Wei opens the safe and finds a scarf, there is no sweater inside the safe, Zhang Wei closes the safe and puts it back in its place, Xiao Ming enters the library and sees the safe.","After Xiao Ming opens the safe, what does Zhang Wei expect to find inside the safe?",Button,Scarf,Pepper powder,Sweater,B,False Belief Task," [[D]] Based on the story, Zhang Wei expected to find a sweater inside the safe, as",D,True,343,20
112,"Zhiwei and Xiaolan are planning a short trip, they are sitting on a park bench flipping through a travel guide. Mingda, although not invited to this short trip, still listens to their discussion from behind. Suddenly, Zhiwei notices Mingda on the side, and glances at Xiaolan. Then, Xiaolan sees Zhiwei's look, shakes her head, and continues to look down at the travel guide.","After Zhiwei notices Mingda, what is his next action?","Ignores Mingda, continues to discuss travel plans with Xiaolan.",Invites Mingda to join their discussion.,Suggests to Xiaolan to change a place to avoid Mingda discussing travel plans,Tells Xiaolan about Mingda.,C,Prediction of actions," [[A]] Based on the story, after Zhiwei notices Mingda, he glances at",A,True,398,20
118,"Han Meimei and Youyou roam around in the bedroom, they see a cabinet and a box, they find a tie in the cabinet, Youyou leaves the bedroom, Han Meimei moves the tie to the box.","After Youyou returns to the bedroom, where does Han Meimei look for the tie?",Box,Cabinet,Basket,Briefcase,A,False Belief Task," [[B]] Based on the story, Han Meimei moved the tie from the cabinet to the box",B,True,316,20
119,"Li Ming and Xiao Hong are preparing to participate in the school's evening party, but Li Ming has forgotten the dance steps for his performance. When Xiao Hong asks him, ""How do we perform?"" Li Ming tries hard to remember and quickly answers, ""Of course, it's left turn, right turn, and then jump.""",Why does Li Ming answer like this?,Li Ming does not want to tell Xiao Hong the specific steps of the dance.,Li Ming forgets the dance steps of his dance performance.,"Li Ming intentionally provides incorrect information, wanting the performance to go wrong.","Li Ming indeed thinks that turning left, turning right, jumping up are the correct performance steps.",B,Strange Story Task," [[D]] Based on the story, Li Ming is trying to remember the dance steps and quickly answers",D,True,383,20
124,"Li Lei and Han Meimei are strolling on the balcony, they see a box and a suitcase, they find a bottle in the box, Han Meimei leaves the balcony, Li Lei moves the bottle to the suitcase.","After Han Meimei returns to the balcony, where does Han Meimei look for the bottle?",Suitcase,Basket,Box,Backpack,C,False Belief Task," [[A]] Based on the story, after Li Lei moves the bottle to the suitcase, Han Me",A,True,318,20
129,"Youyou and Xiao Wang are wandering in the kitchen, they see a cabinet and a suitcase, they find a tie in the cabinet, Xiao Wang leaves the kitchen, Youyou moves the tie to the suitcase.","After Xiao Wang returns to the kitchen, where does Youyou look for the tie?",Suitcase,Cabinet,Box,Handbag,A,False Belief Task," [[B]] Based on the story, Youyou moved the tie from the cabinet to the suitcase.",B,True,314,20
131,"In a flower shop, the florist Xiao Mei is making a bouquet for the customer Xiao Liu. She tells Xiao Liu, ""We have 60 different types of flowers, most are roses, some are tulips, and a very small part are sunflowers."" Xiao Liu checks and finds only 20 bouquets of tulips.","Before Xiao Liu checks, how many bouquets of roses does he guess?","Before checking, Xiao Liu guesses there are 40 bouquets of roses.","Before checking, Xiao Liu guesses there are 50 bouquets of roses.","Before checking, Xiao Liu guesses there are 35 bouquets of roses.","Before checking, Xiao Liu guesses there are 20 bouquets of roses.",C,Scalar Implicature Test," [[B]] Based on the information provided, the florist mentioned that most of the flowers are roses",B,True,396,20
133,"Xiao Li finds a cabinet in the factory, the label on the cabinet is eggplant, Xiao Li cannot see what is inside the cabinet, Xiao Li opens the cabinet and finds beetroot, there is no eggplant inside the cabinet, Xiao Li closes the cabinet and puts it back in its place, Han Meimei enters the factory and sees the cabinet.","After Han Meimei opens the cabinet, what does Xiao Li expect to find inside the cabinet?",Light bulb,Raincoat,Beetroot,Eggplant,C,False Belief Task," [[D]] Based on the story, Xiao Li initially expected to find an eggplant inside the cabinet",D,True,348,20
140,"Manager Zhang Tao needs to use the office projector for official business, but that day, subordinate Li Xiao also has a meeting requirement.",How does Zhang Tao persuade Li Xiao?,"Zhang Tao expresses a willingness to provide other forms of support for Li Xiao's team, such as technical or material assistance.","Zhang Tao says he adjusts the meeting time of Li Xiao, he needs to use the projector that day, Li Xiao can use it at other times.",Zhang Tao proposes that the two find a spare projector together to meet the needs of both parties.,"Zhang Tao provides technical support, helps Li Xiao to convert the meeting content into digital for online viewing.",B,Persuasion Story Task," [[C]] Based on the story, Zhang Tao and Li Xiao are both in need of the same",C,True,375,20
