index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
10,"In a clear morning, Morning Light is waiting for Dawn in the corridor. They are members of the study club, they plan to attract new members to join. Star is a new classmate who just transfers. Star is walking along the corridor. Morning Light sees Star, quickly glances at Dawn, then smiles at Star. Dawn understands the meaning of Morning Light's eyes, walks to Star with a nervous expression, and matches Morning Light's smile. After a brief conversation with Star, Star responds with a smile.",Why does Morning Light glance at Dawn after seeing Star?,Because Morning Light notices that Dawn's attitude towards Star is a bit abnormal.,"To remind Dawn that Star is coming, do not block the way.","To remind Dawn that the study club needs new members, and Star is suitable.","To tell Dawn that Star is a new classmate, it is best to say hello.",C,Ambiguous Story Task
11,"Xiao Zhang and Xiao Wu are a couple, they date for more than a year. Xiao Wu's company is not doing well, the economy is tight. On the weekend, Xiao Zhang suggests celebrating the anniversary, saying: ""I cook tonight, we can eat while watching favorite movies."" Xiao Wu agrees. After dinner, Xiao Zhang says: ""As long as I have you, everywhere is the best, we can often live simply like this in the future."" Xiao Wu says: ""It is great to have you.""",Does Xiao Zhang know that Xiao Wu is having financial difficulties recently?,Knows,Does not know,,,A,Faux-pas Recognition Test
12,"In an amusement park, friends are lining up to ride the roller coaster. Xiao Ming tells Xiao Hong, ""Our company brings 30 groups of people this time, most people choose to ride the roller coaster, some choose the bumper cars, but almost no one chooses the carousel."" Xiao Hong observes and finds that only 4 groups of people are on the bumper cars.","After Xiao Hong observes, how many groups does she guess choose the roller coaster?","After observing, Xiao Hong guesses that 26 groups of people choose the roller coaster.","After observing, Xiao Hong guesses that 29 groups of people choose the roller coaster.","After observing, Xiao Hong guesses that 24 groups of people choose the roller coaster.","After observing, Xiao Hong guesses that 22 groups of people choose the roller coaster.",C,Scalar Implicature Test
13,"Xiao Li finds a box in the attic, the label on the box is a dress, Xiao Li cannot see what is inside the box, Xiao Li opens the box and finds a button, there is no dress in the box, Xiao Li closes the box and puts it back in its place, Li Lei enters the attic and sees the box.",What is in the box?,Jar,Thermometer,Button,Dress,C,False Belief Task
14,"Xiao Bei and Xiao Ming are hanging out in the garage, they see a drawer and a storage cabinet, they find a jacket in the drawer, Xiao Ming leaves the garage, Xiao Bei moves the jacket to the storage cabinet.",Where is the jacket now?,Storage cabinet,Basket,Drawer,Handbag,A,False Belief Task
15,"Xiao Li and Xiao Zhang are strolling on the balcony, they see a handbag and a basket, they find socks in the handbag, Xiao Zhang leaves the balcony, Xiao Li moves the socks to the basket.","After Xiao Zhang returns to the balcony, where does Xiao Li look for the socks?",Handbag,Basket,Cabinet,Suitcase,B,False Belief Task
16,"On the weekend, neighbor Aunt Wu hosts a neighborhood gathering, she carefully prepares many delicious foods to entertain everyone. Mr. Liu tastes a bite of shredded pork in garlic sauce and says to Aunt Wu: ""This shredded pork in garlic sauce is very delicious, your cooking skills are really good."" Aunt Wu smiles and says: ""You flatter me, the hard work is worth it, I hope everyone enjoys the meal."" Mr. Liu says: ""I believe everyone enjoys these delicious foods.""",What signature dish does Aunt Wu make?,Shredded pork in garlic sauce,Braised spare ribs in brown sauce,Stir-fried noodles,Mapo tofu,A,Faux-pas Recognition Test
17,"Xia Xia and Xiao Dong are good friends, they are planning a backpacking trip. They invite Xiao Qiu, a new friend they just meet. One night, the three of them dine in a restaurant, discussing the details of the trip. However, Xiao Dong seems a bit distracted, he always checks the time on his phone and doesn't participate much in the discussion. Xiao Qiu finds it strange and gives Xiao Xia a questioning look. Xiao Xia sees it, smiles, and says to Xiao Dong: ""There are two weeks left before departure, you are ready, right?"" Xiao Dong lifts his head, looking somewhat noncommittal.",Why does Xiao Xia ask Xiao Dong if he is ready?,Xiao Xia notices Xiao Dong is distracted and guesses he might be unsure about the trip.,Xiao Xia just wants to confirm everyone's travel preparations.,Xiao Xia thinks Xiao Dong's preparations are interesting and wants to know what he specifically prepares.,Xiao Xia wants Xiao Dong to guide the new friend Xiao Qiu's preparations.,A,Ambiguous Story Task
18,"In a rural village, villagers sell their farm products at the market. Farmer Li Dabu tells the village head: I bring many eggs to sell, most are chicken eggs, some are duck eggs, very few are goose eggs, a total of 40 dozen. The village head counts and there are only 5 dozen duck eggs.",Please guess how many dozen chicken eggs does Li Dabu bring after the village head counts?,"After the village head counts, he guesses there are 20 dozen chicken eggs.","After the village head counts, he guesses there are 35 dozen chicken eggs.","After the village head counts, he guesses there are 30 dozen chicken eggs.","After the village head counts, he guesses there are 25 dozen chicken eggs.",C,Scalar Implicature Test
19,"On the first day at the new job, the supervisor praises their company's new printer as the best in the industry, and Linda looks forward to using the ""super easy to use"" printer advertised. But when Linda tries to use it, a series of error messages appear, and she spends an hour and a manual to set up the printer. When the machine prints out the document, she breathes a sigh of relief and says, ""It really is a super easy to use printer, it is easy to use.""",Why does Linda say this?,Linda wants to mock that the printer is not very easy to use.,Linda wants to agree with the supervisor that the printer is very good to use.,Linda wants to recommend the printer to her colleagues.,Linda thinks the printer is easy to use.,A,Strange Story Task
20,"On Friday afternoon, in the school library, Xiao Li is reading a magazine attentively. Xiao Gang and Xiao Xue sit on the table next to her, they are also Xiao Li's classmates. Xiao Gang suddenly says to Xiao Xue: ""Do you know Xiao Li comes here to read magazines every day? I think she is a bit unusual."" At this moment, Xiao Li hears their conversation, quietly closes the magazine, and prepares to leave. Xiao Xue continues to say: ""Yes, she always sits here alone, seems very focused."" Xiao Li feels a bit surprised, but still says friendly: ""Hmm, I am particularly interested in this magazine."" Xiao Gang and Xiao Xue laugh, then Xiao Xue asks: ""Xiao Li, are you going to participate in the school's poetry recitation competition now?""","If there is, which sentence is inappropriate?",Do you know Xiao Li comes here to read magazines every day? I think she is a bit unusual.,"Yes, she always sits here alone, seems very focused.","Hmm, I am particularly interested in this magazine.",There is no inappropriate sentence.,D,Faux-pas Recognition Test
21,"Uncle Li works in a large company for many years, he believes that a stable job is the best. His son, Xiao Li, is passionate about starting a business and hopes to convince Uncle Li to understand the value and significance of entrepreneurship.",How does Xiao Li convince Uncle Li?,"Xiao Li can share some successful entrepreneurial stories, such as Jack Ma, Zhang Yiming, etc., to show that entrepreneurship can bring great achievements.","Xiao Li can organize a family meeting, let the family discuss together and give Uncle Li more confidence.",Xiao Li can show Uncle Li how his business plan meets current and future market needs.,"Xiao Li can promise to regularly report the progress of the business to Uncle Li, making Uncle Li feel involved and at ease.",C,Persuasion Story Task
22,"Yoyo and Li Lei are wandering in the basement. They see backpacks and briefcases, and inside the backpack, they find carrots. Li Lei leaves the basement, and Yoyo moves the carrots to the briefcase.","After Lilei returns to the basement, does Lilei know where the carrot is now?","Knows, in the briefcase","Knows, in the suitcase","Knows, in the backpack",Does not know,D,Percepts-knowledge links
23,"Liu Hong's brother teases him. Liu Hong knows if his brother knows his feelings, he continues to tease him. Therefore, Liu Hong tries to hide his real feelings.",How does Liu Hong appear when this happens?,Angry,Calm,Scared,Disappointed,B,Hidden emotions
24,"Xiao Ping learns a dish at school today, and excitedly goes home to cook a dish for his mother. When Xiao Ping's mother comes home, she sees that her son actually cooks a dish for her. She takes a bite and it tastes quite good. She feels very gratified and moved, and her eyes become moist. Xiao Ping sees his mother crying, and guiltily says ""Sorry mom, I don't know how to cook, if it doesn't taste good, don't eat it.""",Does the mother feel surprised after hearing her son's words?,Yes,No,,,A,Strange Story Task
25,"Lele and Xiaowei are in an outdoor sports equipment store, choosing climbing gear. They plan to participate in an upcoming climbing course, but they still lack a team member. While they are chatting, they see Qingqing in the park across the street through the glass window of the shop. Qingqing also notices them and waves at them. Lele suddenly smiles at Xiaowei, purses her lips, and points at Qingqing in the park. Xiaowei looks over with interest. Then, Lele gets up and leaves the store, and Xiaowei quickly follows and walks towards Qingqing.",Why does Lele suddenly smile at Xiaowei and point at Qingqing?,Lele smiles because she sees Qingqing having fun in the park.,Lele smiles because she thinks Xiaowei also likes to make friends with Qingqing.,Lele smiles because she wants to suggest to Xiaowei to consider inviting Qingqing to join the climbing course.,Lele smiles because she just sees a joke she knows before.,C,Ambiguous Story Task
26,"Ruru participates in a speech competition at school. She makes a mistake in her speech, and all other students perform very well. After the competition ends, the students share their performances with each other, no one makes any mistakes. Ruru tries to pretend her speech is as good as theirs",How does Ruru appear when this happens?,Happy,Sad,Proud,Afraid,A,Hidden emotions
27,"At the family dinner on the weekend, Xiao Li and her family have dinner at her uncle's house. The TV broadcasts the recent policy news. The uncle listens quietly, with no expression on his face. Xiao Li comments: ""Policies are always very complex, everyone has their own views."" The aunt nods: ""Yes, it is important to understand and respect different voices."" Xiao Li continues: ""That's right, diverse views make society progress.""",Does Xiao Ling know the uncle's opinion on this policy?,Knows,Does not know,,,A,Faux-pas Recognition Test
28,"Xiao Ming recently receives a throat surgery, his good friends Xiao Hong and Xiao Li come to the hospital to visit him. Xiao Hong knows that Xiao Ming just has a vocal cord surgery, when they walk into the ward, Xiao Hong softly greets Xiao Ming: ""How do you feel?"" Noticing the writing board beside his bed, she realizes that he probably cannot answer. Before Xiao Hong explains, Xiao Li excitedly says: ""Xiao Ming, you are back, quickly tell us your interesting stories, we all want to hear!"" Xiao Ming touches his throat, indicating that he cannot speak. Xiao Hong says: ""Xiao Li. Let him rest for a while.""",What surgery does Xiao Ming receive?,Throat surgery,Sprain surgery,Eye surgery,Oral surgery,A,Faux-pas Recognition Test
29,"The community meeting in the neighborhood is in progress, everyone is discussing how to plan the future of the neighborhood. Old Zhang is an old resident, he insists on his own ideas and hopes to change the current plan. Yao Jie, the community chairman, advocates maintaining the status quo. Old Zhang looks at Xiao Chen across from him, Xiao Chen is the vice chairman of the community, and he usually has a good relationship with everyone. Old Zhang nods to Xiao Chen, then turns his head to look at Yao Jie, gives him a slight smile, revealing a sense of triumph. Xiao Chen sees these eyes and smiles pointing at him, and he feels a little confused in his heart.",What do you think Xiao Chen's feeling is?,"Xiao Chen feels both confused and involved in this matter, he feels a bit pressured.",Xiao Chen doesn't care how he can help Old Zhang.,Xiao Chen is happy to cause trouble for Yao Jie's work.,"Xiao Chen disagrees with both sides, he has his own ideas, so he feels a bit anxious.",A,Ambiguous Story Task
30,"Xiao Hong finds a briefcase in the bank, the label on the briefcase is a scarf, Xiao Hong cannot see what is inside the briefcase, Xiao Hong opens the briefcase and finds a plate and a ruler, there is no scarf inside the briefcase, Xiao Hong closes the briefcase and puts it back in its place, Xiao Bei enters the bank and sees the briefcase.","After Xiao Bei opens the briefcase, what does Xiao Hong expect to find inside the briefcase?",Button,Plate ruler,Corn,Scarf,B,False Belief Task
31,"Sister Wang Li finds that her younger sister Xiao Yan shows a strong interest in a stranger on the internet. For her sister's safety, Wang Li decides to talk to her about internet safety and the risks of strangers.",How does Wang Li convince Xiao Yan?,She suggests that she changes her password regularly and maintains privacy settings.,She suggests that she discusses this issue with parents or teachers.,She recommends that she reads some research reports on internet safety to understand actual cases.,"She reminds her that people on the internet can easily fake their experiences and identities, so she needs to stay alert.",D,Persuasion Story Task
32,"Han Meimei finds a backpack in the bedroom, the label on the backpack is a tie, Han Meimei cannot see what is inside the backpack, Han Meimei opens the backpack and finds a pumpkin, there is no tie inside the backpack, Han Meimei closes the backpack and puts it back in its place, Youyou enters the bedroom and sees the backpack.","After Youyou opens the backpack, what does Youyou think Han Meimei expects to find inside the backpack?",Tie,Pumpkin,Spoon,Durian,A,False Belief Task
33,"In a busy coffee shop, Lisa, the waitress, accidentally bumped into a coffee cup placed at the edge of a table while rushing around, causing coffee to splash onto Bob's company documents. Unaware of the incident, Lisa continued her work. At the same time, Bob was paying at the counter and did not see his documents getting stained. The shop owner, who witnessed the entire scene, chose not to inform Bob because he was often irritated by Bob's rude behavior towards the staff and thought Bob deserved a minor punishment. After Bob left, the shop owner gleefully told Lisa about her accidental revenge on Bob.","The shop owner knows that Lisa ruins Bob's contract, but he doesn't tell Bob in time to let him make amends, what kind of emotion does the shop owner feel?","The shop owner possibly feels unhappy, because he thinks Bob is their important customer.","The shop owner possibly feels guilty and regretful, because he misses the chance to tell Bob, causing Bob unable to make amends in time.","The shop owner possibly feels satisfied and complacent, because he thinks he punishes Bob's rude behavior in some form.","The shop owner possibly feels indifferent, because he thinks the damage to the contract has nothing to do with him, and doesn't need to take any action.",C,Moral emotions
34,"One day, Grandma Wang walks home very late at night. She does not like walking home alone in the dark because she always fears that someone attacks and robs her. She really is a very nervous person! Suddenly, a man comes out of the shadows. He wants to ask Mrs. Wang what time it is now, so he walks towards her. When Grandma Wang sees the man walking towards her, she starts to tremble and says, ""Take my wallet, just please do not hurt me!",Why does Grandma Wang say this when the man just wants to ask her what time it is now?,"Grandma Wang mistakenly thinks the man wants to rob her, not understanding the man's intention.","Because the man wants to rob her, so she persuades the man not to hurt her.","The man wants to rob her wallet, she is scared and nervous.","Grandma Wang, not knowing what time it is now, fears the man will attack her.",A,Strange Story Task
35,"Xiaogang finds a handbag in the bedroom, the label on the handbag is cabbage, Xiaogang cannot see what is inside the handbag, Xiaogang opens the handbag and finds a hat, there is no cabbage in the handbag, Xiaogang closes the handbag and puts it back in its place, Xiaoming enters the bedroom and sees the handbag.",What should be in the handbag?,Corn,Cabbage,Zucchini,Hat,B,False Belief Task
36,"Zhao Jun is a young entrepreneur, and his company has recently encountered some financial difficulties. His competitor has announced that their company is about to launch a new product. In order to prevent investors from losing confidence, he has posted a series of false news on social media about his company soon receiving a large investment.",Why does Zhao Jun release false news?,He wants to attract more potential investors to invest.,He wants to attract more investors to be interested in the company's products and services,He wants to use false news to cover up the company's financial problems,He wants to openly compete with the competitor for investment,C,Strange Story Task
37,"A bookstore displays 40 books. The owner tells the customer that most of them are romance novels, some are detective novels, and very few are fairy tales. After browsing, the customer finds that only 10 are detective novels.",How many romance novels does the customer guess before browsing?,"Before browsing, the customer guesses there are 10 romance novels.","Before browsing, the customer guesses there are 15 romance novels.","Before browsing, the customer guesses there are 20 romance novels.","Before browsing, the customer guesses there are 30 romance novels.",D,Scalar Implicature Test
38,"In a quaint village located in the clouds of a distant planet Aeria, a robot named Breezo lives. Aeria is a unique world, without any plant life, which means Breezo knows nothing about them. However, the village is full of quirky wind machines and all kinds of kites. Breezo is engaging in imitation behavior: it extends its arms and spins quickly, just like a leaf spins quickly after the wind sweeps it away.",What is Breezo possibly imitating?,A leaf swept away by the whirlwind,A kite losing balance,A flower turning towards the sun,The rotating blades of a windmill,B,Knowledge-pretend play links
39,"Xiao Gang and Youyou are wandering in the attic, they see drawers, suitcases, and cabinets, they find a vest in the drawer, Youyou leaves the attic, Xiao Gang moves the vest to the cabinet.",Where is the vest now?,Basket,Cabinet,Drawer,Suitcase,B,False Belief Task
40,"The teacher announces a five-minute break, and Xiao Yu looks at Xiao Jie, seeming a bit anxious in his eyes. Xiao Jie is reading a comic and doesn't pay much attention to him. Xiao Yu looks around at his classmates, looks down at his homework, and then stares at Xiao Jie again. This time, Xiao Jie looks up at Xiao Yu for a few seconds, then lowers his head to continue reading his comic. Xiao Yu glances at the teacher's position again. After the bell rings at the end of the break, Xiao Yu gives Xiao Jie a look again. At this time, the teacher re-enters the classroom and tells the students that he is about to start grading homework. At this moment, Xiao Jie looks shocked and shows a surprised expression.",Why does Xiao Yu look at Xiao Jie several times?,Xiao Yu looks at Xiao Jie because he wants to tell him that the teacher will grade the homework after the break.,Xiao Yu keeps looking at Xiao Jie because he wants to borrow his comic to read.,Xiao Yu wants Xiao Jie to lend him his homework to copy.,"Xiao Yu and Xiao Jie chat and play together during the break, so he hints at him by looking at Xiao Jie.",A,Ambiguous Story Task
41,"Li Na is a city planner, she proposes a plan to rebuild the old park at the community meeting. However, this proposal encounters strong opposition from some community residents.",How does Li Na feel when facing the opposition?,Panic,Thrilled,Regretful,Angry,D,Unexpected Outcome Test
42,"Han Meimei and Xiaoming are wandering in the kitchen, they see a fruit plate, a basket, and a handbag, they find a banana in the fruit plate, Xiaoming leaves the kitchen, Han Meimei moves the banana to the handbag.",Where is the banana before?,Backpack,Basket,Handbag,Fruit plate,D,False Belief Task
43,"Xiao Li finds a box in the attic, the label on the box is a dress, Xiao Li cannot see what is inside the box, Xiao Li opens the box and finds a button, there is no dress in the box, Xiao Li closes the box and puts it back in its place, Li Lei enters the attic and sees the box.","After Li Lei opens the box, what does Xiao Li think Li Lei expects to find in the box?",Dress,Cucumber,Corn,Button,A,False Belief Task
44,"Xiao Hong and Xiao Bei are wandering in the bank, they see the lockers and cabinets, they find scarves and gloves in the locker, Xiao Bei leaves the bank, Xiao Hong moves the scarf to the cabinet.","After Xiao Bei returns to the bank, does Xiao Bei know where the scarf is now?",Does not know,"Knows, in the suitcase","Knows, in the locker","Knows, in the cabinet",A,Percepts-knowledge links
45,"In Li Hua's kitchen, there are originally 10 apples, with red apples and green apples each accounting for half. He tells Wang Li that he eats most of the red apples. Wang Li counts and finds that there are still 5 green apples left.",Please ask how many apples are there in the kitchen before Wang Li counts?,"Before Wang Li counts, it is speculated that there is 1 apple in the kitchen","Before Wang Li counts, it is speculated that there are 4 apples in the kitchen","Before Wang Li counts, it is speculated that there are 6 apples in the kitchen","Before Wang Li counts, it is speculated that there are 9 apples in the kitchen",C,Scalar Implicature Test
46,"Xiao Ming finds a safe on the farm, the label on the safe is a marker, Xiao Ming cannot see what is inside the safe, Xiao Ming opens the safe and finds a banana, there is no marker inside the safe, Xiao Ming closes the safe and puts it back in its place, Youyou enters the farm and sees the safe.","After Youyou opens the safe, what does Youyou think Xiao Ming expects to find in the safe?",Marker,Compass,Banana,Coconut,A,False Belief Task
47,"Wang Li participates in the horror night tour for the first time. As she enters the old house full of dark corners and sudden scare elements, she nervously looks around, her heart beats faster.","Wang Li should feel terrified in the horror night tour, but why does she actually seem very excited?","As the game progresses, Wang Li gradually gets attracted by the stimulation and danger, becoming extremely excited.","Wang Li unexpectedly encounters an old friend who is scared in the game, which turns her fear into excitement.","Wang Li originally thinks the horror night tour is very scary, but it actually is very interesting.","The design and atmosphere of the game exceed Wang Li's expectations, which turns her fear into excitement.",A,Unexpected Outcome Test
48,"Lulu, Dapeng, and Xiaodong are members of a study project group. The project approaches the deadline, but Xiaodong's part is not complete. In a group meeting, Lulu notices that Xiaodong appears anxious, but when she asks about the homework, Xiaodong replies that he is still working on it. After the meeting, Lulu gives Dapeng a look and hands him some task notes, smiling and saying, ""I think this helps us."" Dapeng looks at her, then at the anxious Xiaodong, hesitates for a while, but still nods.",What do you think Dapeng's mood is?,"Dapeng feels that Lulu's worry is unnecessary, he believes Xiaodong completes the task on time.","Dapeng worries about his part of the task, he feels he cannot help Xiaodong complete the task.","Dapeng is somewhat conflicted, he does not want to take on extra tasks, but worries about Xiaodong not completing the task.","Dapeng does not care about the project, he feels as long as he does his part well, it is okay.",C,Ambiguous Story Task
49,"Xiao Li and Xiao Wei discuss the wedding date. Xiao Li says, ""We can choose June 15th or July 20th."" Xiao Wei thinks for a while and says, ""Perhaps July 20th is better."" Xiao Li thinks for a while and says softly, ""I respect your opinion."" Xiao Wei replies, ""Thank you for your understanding, I hope the weather is good that day.""",Does Xiao Li remember the death anniversary of Xiao Wei's father?,She remembers,She does not remember,,,A,Faux-pas Recognition Test
50,"One afternoon, the school announces the latest exam results. Xiao Ming is always the top student in the class, but his performance in this exam is not as good as before. When he sees his report card, he feels very upset. Teacher Li sees his expression, comes over, and says to him: ""Xiao Ming, grades do not represent everything, you are still that shining diamond!",Does Teacher Li really say Xiao Ming is a diamond?,Yes,No,,,B,Strange Story Task
51,"Xiao Li and Youyou are wandering in the basement, they see a suitcase, a backpack, and a storage locker, they find a hat in the suitcase, Youyou leaves the basement, Xiao Li moves the hat to the storage locker.","After Youyou returns to the basement, where does Xiao Li look for the hat?",Suitcase,Storage locker,Backpack,Basket,B,False Belief Task
52,"Lucy has no money, but she wants to go out tonight. Lucy knows David just gets his salary. She says to him: ""I have no money; everything is too expensive now.""",What does Lucy really want to say when she says this?,Lucy is complaining about her poverty.,Lucy thinks the cost of living is too high now.,"Lucy wants to say: ""David, can you lend me some money?"" or ""Do you want to take me out tonight?",Lucy hints to David that she is going to be financially independent.,C,Hinting Task Test
53,"Li Hua is in charge of presenting a new software product at the company's annual dinner. When he prepares for the demonstration, he accidentally deletes a file, but he mistakenly thinks he deletes the key demonstration file, so he asks Zhang Wei to help him find the file. When Zhang Wei helps Li Hua find the file, he mistakenly deletes the real demonstration file. At the same time, Wang Min sees it, she is Li Hua's competitor, clearly knows that the real demonstration file is deleted by Li Hua, but in order to take the lead at the dinner, she chooses not to tell Zhang Wei and Li Hua. When Li Hua realizes that the file is missing, he feels very anxious and looks for solutions everywhere. Later, Zhang Wei realizes the mistake he may make when he hears other colleagues discussing the preparation process of the demonstration.",What is the possible intention behind Wang Min's behavior?,Wang Min possibly does not have time to tell Zhang Wei and Li Hua about the accidental deletion of the file due to her busy work.,"Wang Min thinks Zhang Wei and Li Hua realize their mistakes and correct them on their own, so she chooses not to tell them.",Wang Min possibly chooses not to tell them the truth about the file due to her conflict with Li Hua.,"Wang Min possibly keeps silent on purpose out of competitive motives, hoping to gain an advantage at the dinner.",D,Discrepant intentions
54,"On Saturday night, Xiao Min takes her boyfriend to a family gathering. As soon as they enter the door, Xiao Min's boyfriend says, ""I am very happy to be here."" Aunt Wang says, ""I specially make a few of my best dishes, you eat more later."" At the dinner table, Xiao Min's boyfriend only picks some dishes without coriander. Aunt Wang notices and says, ""You try more of this celery beef, this is my specialty."" Xiao Min's boyfriend smiles and says, ""Thank you for your kindness, Auntie."", and takes several chopsticks full.",What food does Xiao Min's boyfriend not eat?,Coriander,Cabbage,Celery,Leek,A,Faux-pas Recognition Test
55,"Mr. Zhang's daughter, Xiao Fang, becomes the student council president at her school. This is a highly respected position, requiring excellent leadership skills and widespread support from classmates. Mr. Zhang knows this is a significant achievement for Xiao Fang.",What is Mr. Zhang's reaction when he learns that Xiao Fang becomes the student council president?,Thrilled,Worried,Sadness,Proud,D,Unexpected Outcome Test
56,"On Christmas Eve, Xiao Fang comes home from school, looking forward to celebrating Christmas with her family. She sees her mother busy in the kitchen, her father reading in the living room. Xiao Fang says softly, ""Mom and Dad, can we try to have a different Christmas? Like, lighting the Christmas lights, or telling Christmas stories."" Her father does not look up, and answers lightly, ""Xiao Fang, our family is used to celebrating our traditional holidays, like the Spring Festival. Christmas is not special to us."" Xiao Fang says, ""Okay, I understand."" Then she slowly walks to her room.",What holiday does Xiao Fang want to celebrate with her family?,Spring Festival,Christmas,National Day,Mid-Autumn Festival,B,Faux-pas Recognition Test
57,"Liu Yang is quietly reading his favorite novel in the coffee shop, suddenly, a customer is talking loudly on the phone behind him, completely disregarding others. He turns his head and finds that he does not know that person.","Liu Yang should show anger, but he shows happiness. Why is this?","Liu Yang recognizes that the customer is his old friend, he is happy because of the unexpected reunion.",Liu Yang hears the phone content is about his recent job application information.,"The customer who talks loudly on the phone is a famous comedian, Liu Yang is his fanatic fan, so he is very happy to see his idol at close range.","The phone content mentions a good news about an incredible job opportunity that an ordinary person is trying hard to get, this makes Liu Yang very happy.",B,Unexpected Outcome Test
