index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,SOURCE_FILE
11,"Tara is a curious robot, living in an underwater city called Aquatica in the deep sea. In Aquatica, there are no birds or flying creatures, and Tara never understands them. However, Aquatica is full of all kinds of marine life. Tara is doing imitation behavior: it swings its arms up and down gracefully, like a forward motion, very similar to the flapping of bird wings.",What is Tara likely imitating?,Fish sliding fins,Soaring eagle,Butterfly flapping wings,Bat in flight,Knowledge-pretend play links
12,"Xiao Ming and Xiao Li are wandering in the bank, they see a handbag and a box, they find chalk in the handbag, Xiao Li leaves the bank, Xiao Ming moves the chalk to the box.","After Xiao Li returns to the bank, does Xiao Li know where the chalk is now?",Does not know,"Knows, in the handbag","Knows, in the Tote Bags","Knows, in the box",Percepts-knowledge links
13,"Zhang San and Li Si are college roommates. Today is the weekend, a rare rest day, they do not know where to go for fun. Zhang San suggests going to the amusement park, he really wants to go. However, Li Si worries that there are too many people.",How does Zhang San convince Li Si to go to the amusement park?,"We can go first, if we feel there are too many people, then we look for other places to play.","Li Si, a crowd means it is lively, if we queue, we can chat and play with our phones while queuing, it is not boring.","Do you remember last time we want to go on that new roller coaster, but we do not have time? This time we have the chance, if we miss it, we do not know when the next time is.","Actually, I hear that the snacks in the amusement park are very delicious, even if there are many people, we can go to eat.",Persuasion Story Task
14,"Dongdong and Xixi are fixing a car in the park, preparing for a weekend outing. They are always discussing where to play, but neither of them comes up with a good idea. At this time, Nannan passes by, and Dongdong then stops Nannan and asks him to come over to see the car they are fixing. Nannan sees their interaction and still walks over.",What does Dongdong want to do?,Ask Nannan to help him fix the car,Invite Nannan to go out with them,Ask Nannan to give them an idea of where to play.,Dongdong hopes to show off their car repair skills to Nannan.,Prediction of actions
15,"Xiao Hong and Xiao Fang watch other children play on the playground. They chat about some interesting things happening on the playground and plan to go to the park together after school. Suddenly, Xiao Hong gives Xiao Fang a look and looks at Xiao Mei on the swing. Then, Xiao Hong smiles at Xiao Fang. Xiao Fang nods, and the two walk towards Xiao Mei. Xiao Mei sees these two girls she is not familiar with coming towards her. She notices their previous eye contact and smiles. Although the three are in the same class, Xiao Mei does not talk to them before.",What does Xiao Mei do next?,"She goes directly to Xiao Hong and Xiao Fang, greets them, and asks if they need help or want to play together.",She ignores Xiao Hong and Xiao Fang and goes to talk to her best friend about her feelings.,She imagines that Xiao Hong and Xiao Fang just want to make new friends and mean no harm.,She ignores the behavior of Xiao Hong and Xiao Fang and focuses on playing on the swing.,Emotion Regulation
16,"Xiao Hong and Xiao Fang watch other children play on the playground. They chat about some interesting things happening on the playground and discuss going to the park together after school. Suddenly, Xiao Hong gives Xiao Fang a look and looks in the direction of the swing. Then, Xiao Hong smiles at Xiao Fang. Xiao Fang nods, and the two stand up. Xiao Mei sits on the swing and notices the interaction between Xiao Hong and Xiao Fang.",Why does Xiao Hong smile at Xiao Fang?,Xiao Hong smiles because she sees something interesting on the playground.,Xiao Hong smiles because she remembers a joke about Xiao Mei.,Xiao Hong smiles because she thinks it is fun to play after school.,Xiao Hong smiles at Xiao Fang to suggest making new friends together.,Ambiguous Story Task
17,"On a sunny weekend afternoon, Li Juan, Wang Qiang, and Xiao Fang play toys together at home. They first play with the first novel toy - a maze 3D puzzle, then they play with the second novel toy - an electric flyer. At this time, Li Juan says, ""I have something to do and need to leave the room"", and she leaves after closing the door. Wang Qiang says, ""Oh, she leaves, it's okay, we play together."" Wang Qiang and Xiao Fang play with the third novel toy - a smart rotating color light. After playing, they put all three toys in a plate on the table. At this time, Li Juan comes back, looks at the three toys in the tray, and excitedly says, ""Oh, look! Look at that toy!"", ""Xiao Fang, can you pass it to me?""",What does Xiao Fang most likely do?,Xiao Fang picks out the electric flyer and gives it to Li Juan,Xiao Fang picks out the smart rotating color light and gives it to Li Juan,Xiao Fang randomly picks one of the three toys and gives it to Li Juan,Xiao Fang picks out the maze 3D puzzle and gives it to Li Juan,Knowledge-attention links
18,"In a space station on the orbit of a distant planet, a robot named Tinklo lives. This space station has an artificial environment, there is no form of plant life inside, so Tinklo does not understand any plant-related information. However, the space station is full of various mechanical devices and robots. Tinklo is performing imitation behavior: it sways from side to side, occasionally bends to the ground, these actions are similar to flowers swaying in the wind and people smelling flowers.",What does Tinklo possibly imitate?,Sunflowers swaying in the wind.,A robot bending over to pick up objects.,A person smelling a rose.,A windmill with rotating blades.,Knowledge-pretend play links
19,"Emily finds a book she really wants to read in the library, but discovers the book is already borrowed by someone else. Emily sees a book with a similar cover next to it, thinks it is the same book, and takes it away. When she gets home, Emily realizes it is a different book, but she is too lazy to return it. At the same time, Kate is busy working in the library. She knows this book belongs to a blind person who is waiting for this book. Kate gets tricked by a blind person she doesn't know not long ago, she notices Emily takes the wrong book, but she chooses not to tell Emily.","Kate knows Emily takes the wrong book, but she chooses not to tell Emily, what kind of emotion does she feel?","Kate possibly thinks that by not intervening, she introspects and punishes herself for her past experiences in some way.","Kate has a disgust for the blind, even if she knows Emily takes the wrong book, she chooses not to tell her.","Kate possibly feels guilty and conflicted, because she knows she should tell Emily, but she chooses not to.","Kate possibly does not care about this situation, thinks it is not her responsibility.",Moral emotions
20,"The little boy Tom finds some money on his way home from school. He is very happy and starts to think about how to use this money. As he walks, he meets an aunt. The aunt says to him, ""Tom, if you help me pick apples, I give you some money."" So Tom decides to stay at the aunt's house to help pick apples.",What does Tom do after he helps the aunt pick apples?,Tom goes to the park to play.,Tom goes to the store to buy things.,Tom helps the aunt make apple pie.,Tom donates the money to a charity.,Multiple desires
