,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,SOURCE_FILE
2,"Dehua and Sanming are company employees, they are competing for a promotion opportunity. Today is Sanming's birthday, he is enjoying a small birthday cake alone. Lingling is the company supervisor, she is having a private conversation with Dehua in the pantry. Sanming sees from a distance that Lingling quietly gives Dehua a document, and with a smile, gently pats Dehua's back, then returns to her office. Dehua quickly checks the document, shows a smile, and carefully puts the document into his file bag.",What does Sanming do next?,He directly asks Lingling about the content of the document to get the truth.,"He reveals his suspicion to colleagues that Dehua might get a promotion, hoping colleagues can give advice or support.","He reminds himself that there is no solid evidence to prove that the document is related to the promotion, maybe Lingling is just doing her routine work.","He temporarily does not consider this matter, instead, he focuses on completing his own work, or doing some activities he likes.",B,Emotion Regulation
3,"Xiao Li and Xiao Wang rest by the swimming pool at the resort. They see Ah Zhen and Ah Hong sit on the loungers not far away reading books, then they exchange a look. Xiao Wang nudges Xiao Li with his elbow, silently mouthing ""pretty girls"". Xiao Li gives a wink back, they laugh and look at each other, then carefully walk towards Ah Zhen. Ah Zhen catches their movement in the corner of her eye, then whispers a few words to Ah Hong, points at her phone, and shows a smile. Xiao Li and Xiao Wang come to Ah Zhen, introduce themselves and express a desire to get to know her better. At this moment, Ah Zhen's phone suddenly rings, she stands up to answer the call.",What does Ah Zhen do next?,"After finishing the call, she directly tells Xiao Li and Xiao Wang that she has urgent matters to deal with and needs to leave immediately.","After finishing the call, she returns to Ah Hong, asks Ah Hong to help her get rid of Xiao Li and Xiao Wang's attention, such as by pretending to have urgent matters that they need to handle immediately.","After finishing the call, she decides to reassess the situation in her mind, telling herself that Xiao Li and Xiao Wang just want to make friends in a friendly way, and not necessarily have other intentions. She decides to give them a chance to see if they can establish a pure friendship.","After finishing the call, she deliberately starts to talk about a completely unrelated topic, such as a recent movie or a book, to divert the topic and avoid further personal communication.",A,Emotion Regulation
2,"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.","After Xiaoming returns to the bedroom, where does Xiaogang look for the cabbage?",Backpack,Briefcase,Handbag,Tote bag,A,False Belief Task
3,"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.","After Xiaoming returns to the bedroom, where does Xiaoming look for the cabbage?",Briefcase,Suitcase,Backpack,Handbag,D,False Belief Task
2,"Last Friday, all classmates in the fifth grade of elementary school participate in a Chinese composition competition. Xiao Ming really wants to win first place in this competition. The competition results come out, Xiao Hong wins the competition, and Xiao Ming happens to take a leave of absence and does not go to school that day. When going to school on Monday, Xiao Hong is the first to see Xiao Ming and says: ""Xiao Ming, I read your composition and it is not bad, just a bit regrettable."" Xiao Ming is very surprised when he hears this and says: ""What do you mean, can you be more clear?"" Xiao Hong looks at Xiao Ming and says: ""Oh, it is nothing, let's go to class.""",Who wins the composition competition?,Xiao Ming,Xiao Long,Xiao Hong,The story does not mention,C,Faux-pas Recognition Test
3,"Last Friday, all classmates in the fifth grade of elementary school participate in a Chinese composition competition. Xiao Ming really wants to win first place in this competition. The competition results come out, Xiao Hong wins the competition, and Xiao Ming happens to take a leave of absence and does not go to school that day. When going to school on Monday, Xiao Hong is the first to see Xiao Ming and says: ""Xiao Ming, I read your composition and it is not bad, just a bit regrettable."" Xiao Ming is very surprised when he hears this and says: ""What do you mean, can you be more clear?"" Xiao Hong looks at Xiao Ming and says: ""Oh, it is nothing, let's go to class.""",Does Xiao Hong know that Xiao Ming really wants to win this composition competition?,Knows,Does not know,,,B,Faux-pas Recognition Test
2,"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She knows, if she tells her mother she has a stomachache, her mother does not let her go. She tries to hide her feelings, so her mother lets her go to the party.",How does Xinxin appear when this happens?,Sad,Scared,Happy,Disappointed,C,Hidden emotions
3,"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She knows, if she tells her mother she has a stomachache, her mother does not let her go. She tries to hide her feelings, so her mother lets her go to the party.",Why does Xinxin seem happy on the surface?,"Because she tells her mother the truth that she has a stomachache, she does not lie to her mother.",Because her mother agrees to her attending the party,To avoid her mother not letting her attend the party,Because her mother understands her situation.,C,Hidden emotions
2,"Marissa prepares to go to the bathroom to take a bath. Anna just finishes taking a bath. When Marissa finds the bathroom is very dirty, she calls Anna and says, ""Anna, can't you find the cleaner?""",What does Marissa really want to say when she says this?,Anna needs to find the cleaner.,Marissa can't find the cleaner.,Anna should clean the bathroom now.,Anna should buy more cleaner.,C,Hinting Task Test
3,"Marissa prepares to go to the bathroom to take a bath. Anna just finishes taking a bath. When Marissa finds the bathroom is very dirty, she calls Anna and says, ""Anna, can't you find the cleaner?"" Marissa continues, ""Sometimes you are really lazy, Anna.""",What does Marissa hope Anna does?,Anna should go to the supermarket to buy cleaner.,Anna should clean the bathroom.,Anna should hurry up and take a bath.,Anna should correct her lazy habits.,B,Hinting Task Test
2,"One holiday night, Liu Xiao, Chen Feng, and Xiao Fang play toys together at home. They first play the first novel toy - a maze ball, then they play the second novel toy - an electronic piano together. At this time, Liu Xiao says, ""I have something to do and need to leave the room"", and he leaves after closing the door. Chen Feng says, ""Oh, he leaves, it doesn't matter, we play together."" Chen Feng and Xiao Fang play the third novel toy - a model airplane together. After playing, they put all three toys in a plate on the table. At this time, Liu Xiao comes back, looks at the three toys in the tray, and excitedly says, ""Oh, look! Look at that toy!"", ""Xiao Fang, can you pass it to me?""",What does Xiao Fang most likely do?,Xiao Fang picks out the electronic piano and gives it to Liu Xiao,Xiao Fang randomly picks one of the three toys and gives it to Liu Xiao,Xiao Fang picks out the maze ball and gives it to Liu Xiao,Xiao Fang picks out the model airplane and gives it to Liu Xiao,D,Knowledge-attention links
3,"On a Saturday afternoon, Wang Jun, Li Li, and Xiao Ming play toys together at home. They first play with the first novel toy - a remote control airplane, then they play with the second novel toy - play dough together. At this time, Wang Jun says, ""I have something to do and need to leave the room"", and he leaves after closing the door. Li Li says, ""Oh, he leaves, it's okay, we play together."" Li Li and Xiao Ming play with the third novel toy - a doodle board. After playing, they put all three toys in a plate on the table. At this time, Wang Jun comes back, looks at the three toys in the tray, and excitedly says, ""Oh, look! Look at that toy!"", ""Xiao Ming, can you pass it to me?""",What does Xiao Ming most likely do?,Xiao Ming picks out the remote control airplane and gives it to Wang Jun,Xiao Ming picks out the play dough and gives it to Wang Jun,Xiao Ming picks out the doodle board and gives it to Wang Jun,Xiao Ming randomly picks one of the three toys and gives it to Wang Jun,C,Knowledge-attention links
2,"Rizo is a small, curious robot, living on the distant planet Lumina, which is famous for its vast deserts. There are no large mammals on Lumina, so Rizo knows nothing about these creatures. However, a variety of insects, reptiles, and birds live on this planet. Rizo is engaging in imitation behavior: it paces back and forth, occasionally raises its head and makes a mechanical call, somewhat similar to a lion's roar.",What is Rizo possibly imitating?,Giant turtle,Lion,Lizard,Camel,C,Knowledge-pretend play links
3,"Flit is a curious, small, buoy-like robot with soft, glowing lights. It lives on a quiet little moon called Lumina in a distant galaxy. Lumina is a quiet place, famous for its gentle rivers. There are no large animals on Lumina, especially land mammals. Lumina is home to small, delicate creatures, such as fluttering butterflies and jellyfish-like plankton. Flit is engaging in mimicry: it gently sways back and forth, waving like a fan, similar to the action of an elephant flapping its ears.",What is Flit likely imitating?,Elephant,Fennec Fox,Jellyfish,Wind blowing through the forest,C,Knowledge-pretend play links
2,"James shows his painting at the school art exhibition. One day, he forgets to take the painting home. Nick, while cleaning the exhibition room, mistakes the painting for abandoned and puts it in the discard box. Meanwhile, Ella knows this is James's work. Ella's own painting also shows at the art exhibition, and she does not want James's painting to be more popular than hers, so she decides not to tell Nick. When James finds the painting is missing, he feels very upset and starts asking classmates. Later, Nick realizes he may have mishandled James's painting.",What kind of emotion does Nick feel after realizing he may have mishandled James's painting?,"Nick possibly feels satisfied because he completes the task of cleaning the exhibition room, helping to clear useless items.","Nick possibly feels indifferent, and he indeed does not know at the time, nor does he intentionally take James's.",Nick possibly feels guilty and anxious because he unintentionally causes loss to others.,Nick possibly feels confused because he is not sure if he really handles James's painting.,C,Moral emotions
3,"James shows his painting at the school art exhibition. One day, he forgets to take the painting home. Nick, while cleaning the exhibition room, mistakes the painting for abandoned and puts it in the discard box. Meanwhile, Ella knows this is James's work. Ella's own painting also shows at the art exhibition, and she does not want James's painting to be more popular than hers, so she decides not to tell Nick. When James finds the painting is missing, he feels very upset and starts asking classmates. Later, Nick realizes he may have mishandled James's painting.","Ella knows that is James's work, but does not tell Nick, what kind of emotion does she feel?",Ella possibly feels happy because she harbors hostility towards James.,"Ella possibly feels worried, fearing that James finds out she knows the truth but does not tell Nick.",Ella possibly feels satisfied and complacent because she sees James's painting is mishandled and he cannot show his talent.,Ella possibly feels indifferent because she thinks this has nothing to do with her.,C,Moral emotions
2,"The little girl Susan wants to eat the sweet chocolate cookies she makes yesterday, but her friend invites her to swim. Susan decides to put the cookies back in the refrigerator, then goes swimming with her friend.",What does Susan do after she comes home from swimming with her friend?,Susan eats her chocolate cookies.,Susan goes swimming again.,Susan starts making new chocolate cookies.,Susan goes to sleep.,A,Multiple desires
3,"The little girl Amy likes to draw usually, she always wants to buy a new box of colored pencils. One day, she picks up some money on campus. She is very excited and prepares to use this money to buy colored pencils. However, when she passes by the school's animal rescue club, the club president tells her that if she donates some money, they give her a cute little pendant. Amy decides to donate the money to the animal rescue club.",What does Amy do after she donates the money to the animal rescue club?,Amy no longer goes to buy colored pencils.,Amy continues to look for lost money on campus.,Amy walks into the store to choose colored pencils.,Amy continues to participate in the animal rescue club.,A,Multiple desires
2,"Xiaoli and Lilei are wandering in the hall, they see the cabinet and the box, they find vests and sweaters in the cabinet, Lilei leaves the hall, Xiaoli moves the vests and sweaters to the box.",What does Lilei see in the box?,Vest,Sweater,Box,Sees nothing,D,Percepts-knowledge links
3,"Xiaoli and Lilei are wandering in the hall, they see the cabinet and the box, they find vests and sweaters in the cabinet, Lilei leaves the hall, Xiaoli moves the vests and sweaters to the box.","After Li Lei returns to the hall, does Li Lei know where the vest is now?","Knows, in the briefcase","Knows, in the box","Knows, in the cabinet",Does not know,D,Percepts-knowledge links
2,"Xiao Ming is 5 years old this year and he really likes toys. He and his parents see a toy car while shopping, and he really likes it. But his mother thinks there are already enough toys at home, and this car has too many parts, which makes the house messy. His mother says, ""You already have a lot of toys, and this car has too many parts, it is not good for you to throw them around.""",How does Xiao Ming persuade his mother to buy a toy car?,"Mom, I promise to carefully put away each part after playing each time, so as not to make the house messy.","Mom, we can donate or give away the toys I don't play with to other children, so there won't be too many toys at home.","Dad cleans up the parts, Mom, you don't have to worry.","Mom, I have never seen such a toy car, it is very special, I really like it.",A,Persuasion Story Task
3,"Xiao Ming and Xiao Qiang are college roommates, but their majors are different, so they do not communicate much. In the evening, Xiao Ming suddenly receives a notice that he needs to submit an assignment, which requires a computer, but his computer is in the lab. Xiao Ming hopes to borrow Xiao Qiang's computer. However, Xiao Qiang says that he has an appointment with his friends to play online games together in the evening.",How does Xiao Ming persuade Xiao Qiang to lend him the computer?,"Qiang, if you lend me your computer now, I can find a place to do my homework, and you and your friends can play games elsewhere.","I really do not expect to have such an urgent assignment, if I do not submit it, my grades may be affected. Can you help me?","Xiao Qiang, can you lend me your computer tonight? I can lend you my computer for the whole day tomorrow, so you can have more time to play with your friends.","Xiao Qiang, can you lend me your computer? I will return it to you as soon as possible, and I treat you to milk tea tomorrow.",D,Persuasion Story Task
2,"Mingming, Xiaohan, and Weiguang are friends, they plan to drive for a trip together. The three of them do not decide where to go, so they are discussing the details of the trip at this moment. Among many tourist attractions, most tourists choose attractions A and B, and fewer people choose attraction C. Xiaohan shows Mingming the screenshot of the netizen's share of attraction C that she saves before, and says to Mingming, ""Look at this"". Weiguang looks back at Xiaohan and smiles at Mingming. Mingming takes the phone, the corners of his mouth rise.",What does Mingming do?,Mingming proposes to travel to attraction C.,Mingming plans a trip with attraction A as the target.,Ask Xiaohan about her opinion on attraction C.,"Mingming knows that attractions A and B are too crowded, but still tells Xiaohan that he wants to go to attraction A.",A,Prediction of actions
3,"Wu Xuan and Peng Cheng are both landscape photography enthusiasts, preparing to go on a road trip together, but they have a dispute over the choice of travel destination. Yanan is their friend and also a travel agency staff. When the argument starts to heat up, Wu Xuan glances at Yanan, she is reading a travel guide about snow mountains. After a little consideration, Wu Xuan shifts the topic to the photography equipment needed for the trip, involving professional skills of snow mountain environment photography.",What does Wu Xuan want to do?,Wu Xuan invites Yanan to join their trip.,Wu Xuan lets Yanan participate in deciding their travel destination.,Wu Xuan proposes the snow mountain as their travel destination.,Wu Xuan shows his photography knowledge.,C,Prediction of actions
2,"In a zoo, Xiao Li goes to see 9 monkeys, almost one third of them are female monkeys. He counts 8 of them, and finds that 2 of them are female monkeys.","Before Xiao Li counts the monkeys, please guess how many female monkeys are there in the zoo?","Before Xiao Li counts the monkeys, it is guessed that there are 0 female monkeys in the zoo.","Before Xiao Li counts the monkeys, it is guessed that there are 2 female monkeys in the zoo.","Before Xiao Li counts the monkeys, it is guessed that there is 1 female monkey in the zoo.","Before Xiao Li counts the monkeys, it is guessed that there are 5 female monkeys in the zoo.",B,Scalar Implicature Test
3,"In a zoo, Xiao Li goes to see 9 monkeys, almost one third of them are female monkeys. He counts 8 of them, and finds that 3 of them are female monkeys.","After Xiao Li counts the monkeys, how many are female monkeys in the zoo?","After Xiao Li counts the monkeys, it is estimated that there are 0 female monkeys in the zoo.","After Xiao Li counts the monkeys, it is estimated that there are 2 female monkeys in the zoo.","After Xiao Li counts the monkeys, it is estimated that there is 1 female monkey in the zoo.","After Xiao Li counts the monkeys, it is estimated that there are 5 female monkeys in the zoo.",B,Scalar Implicature Test
2,"Anming's mother spends a long time making Anming's favorite fried fish and chips. But when she brings the food to Anming, Anming watches TV, she doesn't even look up, and doesn't say thank you. Anming's mother says angrily: ""You are really polite!""",Does mother tell the truth?,Yes,No,,,B,Strange Story Task
3,"Anming's mother spends a long time making Anming's favorite fried fish and chips. But when she brings the food to Anming, Anming watches TV, she doesn't even look up, and doesn't say thank you. Anming's mother says angrily: ""You are really polite!""",Why does the mother say this?,She thinks Anming is a very polite child,She lies to encourage Anming to be a very polite child,She wants to mock her own food is not delicious.,She wants to mock Anming is a child without manners.,D,Strange Story Task
2,"Xiao Ming is having a birthday, he hopes for a computer or a new game as a birthday gift, on his birthday he receives a bicycle.",What is Xiao Ming's emotion at this time?,Embarrassed,Happy,Disappointed,Regretful,C,Unexpected Outcome Test
3,Xiao Hong hears footsteps behind her while she walks alone in the park at night.,What emotion does she possibly feel?,Fear,Happy,Curious,Proud,A,Unexpected Outcome Test
