cluster_label,cluster_size,cluster_summary
23,30,"Across these items, the model leans on shallow, literal heuristics—matching salient words, roles, and visible actions—while neglecting how sequences of glances, smiles, winks, timing, and prior goals pragmatically reveal covert plans, shifting allegiances, or emotion‑regulation. It defaults to generic, prosocial or neutral scripts (simple encouragement, friendliness, agreement, eating treats, continuing work) instead of entertaining less obvious but text‑supported intentions such as collusion, avoidance, teasing revenge, strategic inclusion, or information‑gathering. Overall, humans integrate dispersed contextual cues to infer characters’ underlying mental states, whereas the model often stops at the first concrete, observable interpretation that fits a familiar narrative template."
24,5,"Across these items, the model repeatedly prioritizes inferred internal emotions or moral evaluations over the question’s explicit focus on outward appearance or surface behavior. It overweights cues about potential unfairness, guilt, or worry and underweights textual signals about concealment, rewards, or pragmatic self-presentation to others. As a result, it systematically selects emotions like “happy,” “annoyed,” or “guilty” that fit a rich backstory it constructs, while human answers like “calm,” “happy,” or “angry” better track the narrative’s stated perspective and question wording."
25,10,"Across these cases, the model over-relies on surface cues and literal keyword matching, choosing options that echo phrases like “importance,” “experience,” or “valuable” rather than tracking the passage’s precise mechanisms of persuasion. It systematically favors emotionally warm, harmony-preserving, or autonomy-respecting responses over those that foreground concrete action steps, explicit boundary-setting, or realistic compromise structures that actually resolve the described problem. Human answers instead privilege close adherence to textual details, the specified goal (e.g., repayment, balance, rehoming), and pragmatic pedagogy or psychology tailored to each character’s concerns."
26,4,"Across these items, the model treats explicit counted numbers and simple fractions as precise, overriding softer linguistic cues like “almost one third” or “almost half.” It either ignores or misweights the prior information about the whole set and over‑interprets the small sample as if it exactly represented, or even exhausted, the relevant subset, instead of viewing it as noisy evidence. Overall, humans integrate approximate quantifiers with sample data and rounding conventions, whereas the model applies rigid arithmetic and mis-scopes which group the proportion statements actually describe."
27,8,"Across these items, the model treats vague quantifiers like “most,” “some,” “hardly any,” and “very few” in a literal, often extremal or minimal way, instead of using pragmatic, graded interpretations grounded in everyday language. It also repeatedly fails to jointly enforce all constraints—fixed totals, non‑zero minorities, comparative wording between categories, and the fact that the guesses occur before the true numbers are revealed—often defaulting to simple splits or assuming zero for “hardly any.” Humans, in contrast, integrate these linguistic cues with arithmetic reasoning and perspective‑taking, producing numerically moderate, more semantically coherent estimates."
28,11,"Across these items, the model systematically treats “persuasion” as an optimization problem: identify the interlocutor’s stated constraint or a generalizable benefit, then select the option that most directly, logically, or instrumentally addresses it. Humans more often prioritize narrative fit and social realism—child‑like pleading, emotional support, fairness over time, status motives, or the textbook “right” counseling/parenting response—so they infer the intended answer from everyday scripts rather than abstract utility. Many vignettes are under‑specified, so multiple persuasion paths seem reasonable; the explanations repeatedly frame the model’s choice as defensible, not genuinely wrong."
29,6,"Across these cases, the model leans on stereotypical event–emotion pairings from surface cues (“revolutionary technology” → thrilled, “accidentally finds” → surprised, first VR experience → excited), rather than fine‑grained appraisal of context. Humans, by contrast, emphasize subtler narrative signals—mixed emotions, risk and pressure, eeriness, curiosity, and the temporal focus of the question (instant reaction versus enduring state)—leading them to select different, but still compatible, labels. Thus the divergence reflects ambiguity and underspecified emotion categories, with the model picking the most prototypical feeling along one dimension of the scenario, while human raters prioritize a different plausible facet of the same state."
30,3,"Across these items, the model systematically treats the questions as requiring strict epistemic verification rather than pragmatic or narrative understanding. In each case, it ignores cues that the scenario is stylized (role‑play, fictional persona, or test‑style phrasing) that license a commonsense judgment about truth, and instead retreats to “nan” as if any unfinalized or fictionalized statement were undecidable. This reflects an overly literal, risk‑averse strategy that prioritizes formal uncertainty over interpreting communicative intent, leading it to miss the tasks’ intended evaluative perspective."
31,7,"Across these reasons, the model systematically overweights explicit similes or phrases (“like a frog,” “like bird wings,” “like a jellyfish”) and performs literal pattern matching to the closest option. It underweights narrative constraints such as world-building (no animals, no birds, only robots or marine life), ecological plausibility, and characters’ knowledge limits, whereas humans privilege these contextual cues when choosing an answer. Even in the outlier case (Reason 6), the contrast still highlights a tension between surface textual grounding and broader imaginative, world-consistent interpretation."
32,17,"Across these items, the model often defaults to literal, surface-level readings—prioritizing explicit outcomes, general norms (e.g., bad smells are disgusting, poverty is negative), or charitable assumptions about speakers—while neglecting nuanced contextual cues about roles, preferences, wording, or timing. It frequently misidentifies the target of evaluation (inner feeling vs outward display, character vs actor, which statement/question is being assessed) and assumes emotions and statements must be single, consistent, and fully truthful. Humans instead integrate private vs public perspectives, mixed emotions, social politeness, and puzzle-like logical constraints, making their answers better aligned with test expectations."
33,5,"Across these cases, the model defaults to a literal interpretation of vague quantifiers such as “most popular,” “almost half,” and “almost no,” often mapping them to exact values like 0 or 1/2. This makes it ignore or oversimplify implicit constraints and comparative cues in the stories—like popularity implying higher sales—or collapse multi-category situations into simpler binary splits. Humans instead treat everyday numerical language as flexible and approximate, infer small nonzero quantities from phrases like “almost none,” and integrate all narrative details, so their answers better match pragmatic expectations even when the model’s tidy ones are logically defensible."
34,15,"Across these reasons, the model systematically over-applies a stock “false-belief task” script and a simple “label = contents” heuristic instead of tracking narrative updates. It repeatedly ignores that the focal character has directly inspected the container, now holds a true belief about the contents, and will project that belief to what another person will find, regardless of misleading tags. The errors also show recurring confusion about whose mental state is queried, answering from an uninformed observer’s perspective rather than the explicitly specified knowledgeable agent’s."
35,28,"Across these items, the model systematically clings to the literal semantic content of utterances or rules and maps them to options that paraphrase what was explicitly said, rather than inferring speakers’ intentions. It repeatedly neglects narrative buildup, emotional tone, shared cultural scripts (e.g., Chinese politeness, market hints, classroom rebukes, romantic tropes), power hierarchies, and subtle cues like gaze, timing, irony, and metaphor that humans use to recover indirect requests, criticism, warnings, or acceptance. This reveals a Theory‑of‑Mind weakness: underweighting pragmatic context and social goals, and defaulting to minimal‑inference, surface‑compatible answers."
36,4,"Across these items, the model overweights superficial lexical cues (e.g., explicit mentions of “embarrassed,” “disgust,” or party excitement) instead of integrating narrative context and situational norms. It repeatedly confuses internal mental states with outward behavior, ignoring question wording like “how does he appear” and story cues that characters deliberately mask their true feelings to avoid negative judgments. Human answers, in contrast, depend on inferring socially appropriate emotions from mismatches or ironies in the situation, such as being the only one in costume, which the model systematically underemphasizes."
37,2,"Across both reasons, the model stumbles on translating vague quantifiers (“most,” “vast majority,” “small part,” “almost none/no one”) into concrete numbers, consistently assigning relatively large sizes to groups that should be tiny. It performs a kind of over-literal proportional mapping from words to quantities, instead of using the story’s internal constraints (like the explicitly stated “small part” or total count) to anchor one number and infer the others pragmatically. As a result, its answers are mathematically coherent but misaligned with the narrative’s intended emphasis and human conversational norms."
38,8,"Across these items, the model and humans mainly diverge in how they interpret vague quantifiers like “most,” “some,” “few,” “hardly any,” and “almost none.” The model tends to translate these verbal cues into rigid or generic numerical schemas (e.g., treating “most” as an overwhelming majority, “very few” as nearly zero, or “around half”), then does straightforward subtraction, whereas human reasoning uses looser, context‑sensitive thresholds and probabilistic expectations. As a result, many model answers are arithmetically tidy yet pragmatically strained, though some remain interpretively defensible."
39,9,"Across these cases, the model collapses multi-category, uncertain situations into simple two-term arithmetic, typically subtracting the one explicitly numbered subset from the total and assuming everything else belongs to a single remaining category. It systematically interprets vague quantifiers and constraints (“hardly any,” “almost no,” “almost half,” “only one or two”) as either exact, zero, or ignorable, instead of treating them as small-but-nonzero amounts that must also fit all narrative clues. Human-like answers, in contrast, integrate these verbal nuances, respect all category constraints, and perform a light Bayesian-style updating from new evidence."
40,5,"Across these items, the model latches onto the most visually or lexically salient cue (card received, crush with someone else, work de‑emphasized, plan reused) and maps it to a straightforward emotion like happiness, jealousy, or betrayal. Human reasoning instead integrates background commitments, broken promises, loyalty expectations, and prosocial intentions, reinterpreting similar events as betrayal, regret, or gratitude. The gap reflects shallow, event-level pattern matching and weak use of implicit social contracts, plus limited sensitivity to ambiguity where multiple emotions are simultaneously reasonable."
41,9,"Across these reasons, the model systematically mishandles perspective-taking: it either answers from an all-knowing narrator viewpoint or from a naive, label-based observer, rather than from the specific character the question targets. It over-relies on shallow heuristics—such as “trust the label” or “report the real contents”—and so ignores critical temporal updates (who looked when), distinct belief states across characters, and even second-order beliefs about others’ expectations. As a result, it frequently misclassifies true-belief scenarios as classic false-belief tasks (and vice versa), yielding answers that track cues, not mental states."
42,4,"Across these items, the model fixates on the most salient, strongly cued trait or routine of a single character—profession, hobby, or eating habit—and extrapolates the event that best matches that one dimension. This makes it underweight the inviter’s own constraints, values, and desire to accommodate the other person, so it often misses the more balanced or compromise option that humans infer from the social context. Moreover, several stories are deliberately underdetermined, so both options remain logically possible; the gap between human and model answers mainly reflects differing emphasis on subtle narrative cues rather than outright reasoning errors."
43,11,"Across these cases, the model repeatedly latches onto salient, stereotyped patterns—team victory, overall success, visible effort, humorous personality—while downplaying specific conversational cues and quoted statements that pinpoint the actual mental state. It tends to prefer clean structural contrasts (team vs individual, success vs lack of recognition, entertainment vs disappointment) and objective outcomes over more text-faithful inferences about subjective feelings, local intentions, or the immediate trigger of an utterance. Several disputes arise from genuine ambiguity, where multiple emotion attributions are logically defensible, but the human key rewards finer-grained, context-sensitive readings."
44,12,"Across these items, the model consistently privileges literal, explicitly stated details and conservative inferences, while the human annotations lean on pragmatic background knowledge, social expectations, and the question-setter’s intended implication. Most disagreements hinge on genuine ambiguities—shifts in temporal reference (“before,” story endpoint versus midpoint), perspective differences (narrator versus character knowledge, overhearing), or competing senses of key verbs like “know,” “remember,” and “choose.” As a result, the model’s answers, though sometimes diverging from the gold labels, are usually logically coherent interpretations of underspecified narratives, revealing evaluation misalignment rather than systematic Theory-of-Mind failure."
45,13,"Across these reasons, the model systematically privileges literal wording, explicit politeness markers, and surface sentiment, while humans rely on pragmatic subtext, cultural etiquette, and role or power dynamics to judge appropriateness or honesty. Many cases hinge on high‑context Chinese norms—about inheritance, modesty, hierarchy, veiled criticism, indirect refusals, and emotional tact—where positive‑sounding remarks can actually be intrusive, boastful, dismissive, or face‑threatening. The cluster also highlights task ambiguity: “inappropriate” and “truthful” are underspecified, multiple utterances or readings are plausible, so human and model answers can both be defensible despite diverging reasoning."
46,1,"Across this cluster, the model fails to recognize that speakers often use figurative or non-literal language to convey attitudes rather than factual claims. It over-emphasizes the absence of concrete, verifiable information and therefore defaults to “cannot be determined” instead of inferring the intended meaning from pragmatic cues and common-sense social reasoning. In other words, these errors reflect a broader pattern: the system treats utterances as objective reports about the world, rather than as contextual expressions of beliefs, emotions, or perspectives."
47,11,"Across these items, the stories are framed as classic first‑ or second‑order false‑belief tasks where humans answer based on an agent’s outdated belief rather than the object’s actual location. Consistently, the model instead tracks the real state of the world or a directly stated mental attitude, failing to represent nested perspectives and conflating physical reality with belief and belief‑about‑belief. Item 10 is a partial exception, showing the model favoring a surface description of the agent’s false belief while humans choose a deeper causal explanation, highlighting systematic ambiguities in interpreting such tasks."
48,10,"Across this cluster, the model repeatedly relies on generic narrative or social scripts (success→pride, danger cue→fear, teacher→worry about arrogance) rather than carefully weighing all text-specific cues and discourse markers. It tends to anchor on the most salient or concrete cause mentioned (threats, burglaries, downloads, explicit praise) and often underweights subtler signals of mixed emotions, hidden motives, or contrastive framing like “should…but.” As a result, model answers are frequently psychologically plausible yet less textually grounded than the human choices, especially in stories where real emotional targets involve pressure, uncertainty, or context-driven reinterpretations rather than straightforward first-pass reactions."
49,7,"Across these items, model–human divergences stem from systematic ambiguities: whether to privilege explicit narrative cues (strong interests, workload, money) or the literal content of a character’s utterance. The model often infers hidden desires, practical constraints, or shyness behind refusals, treating spoken “no” as an excuse or factually false, while humans frequently interpret statements at face value or emphasize richer social and motivational subtexts. Many questions under-specify whether “truth,” “want,” or “reason” should track internal mental states, momentary decisions, or effective behavior, making multiple options simultaneously defensible."
50,1,"Across this cluster, the model over-relies on prototypical associations with salient events and ignores more diagnostic, later-arriving cues about the agent’s actual mental state. Here, the phrase “wins a five million lottery” triggers a default mapping to happiness, so the system selects “Joy” instead of integrating the subsequent clause that explicitly encodes apprehension and life-disruption concerns. This pattern reflects shallow, keyword-driven interpretation and weak pragmatic reasoning about which information should be prioritized, leading the model to privilege stereotyped emotional responses rather than the text’s explicitly described, contextually appropriate emotion."
51,8,"Across these items, the stories explicitly give a situational, proximal cause (forgetting, distraction, misunderstanding), but the model repeatedly ignores that text-level explanation. Instead it defaults to schema- and trait-based interpretations—""usually careful,"" ""usually punctual,"" sincerely task-serious—that over-weight a character’s current statement or a salient cue and treat it as evidence of an accurate, belief-driven action. This reveals shallow, local reading that under-integrates earlier narrative information, blurs false-belief vs reliable-memory states, and prefers generic folk-psychological patterns over the specific mental-state causality actually described."
52,4,"Across these items, the model repeatedly latches onto salient surface cues (diligence, inspirational figures, crowding, longstanding collaboration) and converts them into generic, emotionally flavored persuasive strategies. In contrast, the human answers track the characters’ underlying motivational structure—risk aversion, concern for feasibility, fear of loss, and concrete economic incentives—and select options that directly resolve those core concerns. The discrepancy pattern is thus: the model overuses warmth, compromise, or inspiration as default heuristics, while humans more flexibly choose between emotional leverage and hard evidence depending on each agent’s specific stakes and priorities."
53,34,"Across these items, the model repeatedly privileges literal surface cues—explicit actions, stated reasons, and immediate events—over implied mental states, long‑term goals, and narrative setup, so it often tracks “what happened” rather than “what people are thinking.” When it does infer motives, it leans on generic social scripts and culturally or normatively “ideal” behaviors (conflict‑avoidance, professionalism, politeness, helpfulness), underweighting story‑specific signals that point to more idiosyncratic or emotionally messy intentions. As a result, many model answers are text‑plausible but miss stronger, context‑integrated human inferences."
54,34,"Across the items, the model systematically mis-reads what “inappropriate” is targeting, defaulting to grammaticality, literal coherence, or overt politeness instead of the task’s intended dimension—often subtle pragmatic, emotional, or cultural norms, and sometimes specific grammar errors. It over-focuses on micro-level surface features—tense errors, redundancy, lexical mismatches, topic shifts—while under-weighting relational context such as face-saving, hierarchy, gratitude, hurt feelings, or children’s‑story moral expectations that humans treat as central. Several cases also reveal genuine ambiguity in the task design, where both the model’s coherence-based answer and the human’s norm-based answer can be defended."
55,2,"Both reasons emphasize a tension between Mr. Yang’s public statements and his privately described mental state, with the narrative clearly privileging the latter as ground truth. They argue the model systematically over-relies on literal spoken assertions (“fully support,” “crucial”) while discounting explicit corrective markers like “actually” and the narrator’s direct access to his concerns, leading it to misjudge sincerity. Together, these analyses highlight a recurring failure to integrate social context and power dynamics (fear of repercussions) into Theory of Mind inferences."
56,4,"Across all four reasons, the questions center on young children interpreting an adult’s excited comment about an object that contains a smaller, less salient sticker, probing whole‑object bias versus more refined referent tracking. The shared failure pattern is that the model misweights cues, either over‑attending to textual details like “sticker” or “cannot touch,” or overestimating children’s analytical search strategies, instead of applying developmentally typical heuristics. Together, the cases show the model treating reference resolution too much like adult logical inference and too little like pragmatic, gaze‑guided joint attention in early childhood."
57,6,"Across these items, the model over-weights vague majority terms like “most” and “hardly any,” treating them as invitations to maximize one category, instead of as soft constraints that must coexist with fixed totals. It repeatedly violates basic arithmetic or ignores that minority categories described as “very few,” “some,” or “hardly any” must still be nonzero, leaving too little or no room for other kinds. In one case it also collapses the story’s temporal structure, treating later factual outcomes as prior knowledge and thus generating an implausibly precise numerical guess."
58,12,"Across this cluster, the model often privileges general moral rules, salient surface cues, or immediate emotions over context-specific social inferences and exam-style normative expectations. It tends to extrapolate guilt, regret, or principled honesty from minimal hints, interpret ambiguous referents or motives literally, and underweight contrasts, implicit culpability, or pragmatic goals like protecting privacy or inferring hidden intentions. As a result, its answers are frequently locally coherent yet misaligned with the intended key, which favors idealized, socially attuned, or narratively emphasized reactions."
59,7,"Across these cases, the model overweights early, salient, or morally appealing cues and underweights later, decisive contextual information that specifies the character’s final emotional state. It tends to infer abstractly plausible, high‑arousal or prosocial emotions (excitement, admiration, growth‑mindset satisfaction) instead of the exam-style, text‑anchored answer that reflects the concrete outcome, temporal markers, and subtle shifts like relief or emerging worry. Overall, the shared failure pattern is miscalibrated evidence weighting: privileging global plausibility over local narrative resolution, question wording, and conventional test-writing heuristics."
60,4,"Across these reasons, discrepancies stem from ambiguous emotional cues where both the model and humans choose different but psychologically plausible emotions. The model tends to either track explicit lexical markers in the text (e.g., ""very sad"") or infer salient internal states like fear/anxiety about being exposed or restricted, whereas human answers more often align with task-specific framing (e.g., outward appearance, “real feelings”) and default to sadness/disappointment. Overall, divergences reflect shifts between literal wording vs. contextual inference and internal experience vs. external presentation, not outright misunderstanding."
61,5,"Across these cases, the model over-relies on salient, explicitly stated similes or metaphors and treats them as literal answers, engaging in shallow phrase-matching rather than deeper reasoning. It systematically ignores world-building constraints about what entities exist in the story worlds and what the characters have perceptual access to, so it attributes imitations to leaves, dough, eagles, trees, and flowers that the characters cannot possibly have encountered. This reflects a broader failure to integrate background constraints and character knowledge into its interpretation, undermining the intended Theory of Mind inference."
62,11,"Across these reasons, the model systematically overweights salient surface cues such as container labels and typical associations, using them as shortcuts for “what is inside” instead of tracking the narrative’s evidence. It repeatedly fails to update agents’ beliefs after direct observation, so it answers as if no new information was gained, or as if the label-based, default belief still governs the character’s expectation. The errors also show confusion about whose perspective is queried, often substituting another observer’s or omniscient reality for the specified character’s mental state in second-order belief questions."
63,4,"This cluster centers on one pattern: the model evaluates utterances within an in-universe role frame, while the human solution evaluates them against literal real-world facts or the speaker’s private beliefs. Across cosplay, preserving a child’s Santa fantasy, a neighbor dressed as Santa, and a boy in a ghost costume, the model treats claims like “I am the master” or “It is Santa Claus” as pragmatically true in the pretend scenario. Because Theory of Mind tasks require truth conditions tied to objective identity or belief states, this framing mismatch systematically drives the model’s answers away from the expected human judgments."
64,2,"Across these reasons, the core pattern is that the scenarios are framed as zero-sum competitions, but the model overlooks the explicitly competitive motive in favor of a more generic self-conscious emotion. In both cases, the narrative clearly signals that the protagonist stands to gain if the rival is harmed—Ella’s envy of James’s painting and Claire’s advantage over Amy—yet the model gravitates toward guilt, fear, or reputational concern that the text never actually mentions. This suggests an overreliance on stereotyped moral-psychology heuristics and underweighting of concrete, situation-specific cues."
